Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
15,7/13/1984,241,Domaine du Rouret,Grenoble,Hilly stage,Frédéric Vichot,FRA
16,7/15/1984,22,Les Échelles,La Ruchère,Individual time trial,Laurent Fignon,FRA
17,7/16/1984,151,Grenoble,Alpe d'Huez,Stage with mountain(s),Luis Herrera,COL
18,7/17/1984,185,Le Bourg-d'Oisans,La Plagne,Stage with mountain(s),Laurent Fignon,FRA
19,7/18/1984,186,La Plagne,Morzine,Stage with mountain(s),Ángel Arroyo,ESP
20,7/19/1984,141,Morzine,Crans-Montana,Stage with mountain(s),Laurent Fignon,FRA
21,7/20/1984,320,Crans-Montana,Villefranche-sur-Saône,Hilly stage,Frank Hoste,BEL
22,7/21/1984,51,Villié-Morgon,Villefranche-sur-Saône,Individual time trial,Laurent Fignon,FRA
23,7/22/1984,197,Pantin,Paris,Hilly stage,Eric Vanderaerden,BEL
P,7/1/1983,6,Fontenay-sous-Bois,Fontenay-sous-Bois,Individual time trial,Eric Vanderaerden,BEL
1,7/2/1983,163,Nogent-sur-Marne,Créteil,Plain stage,Frits Pirard,NED
2,7/3/1983,100,Soissons,Fontaine-au-Pire,Team time trial,COOP–Mercier–Mavic,
3,7/4/1983,152,Valenciennes,Roubaix,Hilly stage,Rudy Matthijs,BEL
4,7/5/1983,300,Roubaix,Le Havre,Plain stage,Serge Demierre,SUI
5,7/6/1983,257,Le Havre,Le Mans,Plain stage,Dominique Gaigne,FRA
6,7/7/1983,58,Châteaubriant,Nantes,Individual time trial,Bert Oosterbosch,NED
7,7/8/1983,216,Nantes,Île d'Oléron,Plain stage,Riccardo Magrini,ITA
8,7/9/1983,222,La Rochelle,Bordeaux,Plain stage,Bert Oosterbosch,NED
9,7/10/1983,207,Bordeaux,Pau,Plain stage,Philippe Chevallier,FRA
10,7/11/1983,201,Pau,Bagnères-de-Luchon,Stage with mountain(s),Robert Millar,GBR
11,7/12/1983,177,Bagnères-de-Luchon,Fleurance,Plain stage,Régis Clère,FRA
12,7/13/1983,261,Fleurance,Roquefort-sur-Soulzon,Plain stage,Kim Andersen,DEN
13,7/14/1983,210,Roquefort-sur-Soulzon,Aurillac,Hilly stage,Henk Lubberding,NED
14,7/15/1983,149,Aurillac,Issoire,Hilly stage,Pierre Le Bigaut,FRA
15,7/16/1983,16,Clermont-Ferrand,Puy de Dôme,Individual time trial,Ángel Arroyo,ESP
16,7/17/1983,144,Issoire,Saint-Étienne,Hilly stage,Michel Laurent,FRA
17,7/18/1983,223,La Tour-du-Pin,Alpe d'Huez,Stage with mountain(s),Peter Winnen,NED
18,7/20/1983,247,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Jacques Michaud,FRA
19,7/21/1983,15,Morzine,Avoriaz,Individual time trial,Lucien Van Impe,BEL
20,7/22/1983,291,Morzine,Dijon,Plain stage,Philippe Leleu,FRA
21,7/23/1983,50,Dijon,Dijon,Individual time trial,Laurent Fignon,FRA
22,7/24/1983,195,Alfortville,Paris,Plain stage,Gilbert Glaus,SUI
P,7/2/1982,7,Basel,Basel,Individual time trial,Bernard Hinault,FRA
1,7/3/1982,207,Basel,Möhlin,Hilly stage,Ludo Peeters,BEL
2,7/4/1982,250,Basel,Nancy,Plain stage,Phil Anderson,AUS
3,7/5/1982,134,Nancy,Longwy,Plain stage,Daniel Willems,BEL
4,7/6/1982,219,Beauraing,Mouscron,Plain stage,Gerrie Knetemann,NED
5,7/7/1982,73,Orchies,Fontaine-au-Pire,Team time trial,Cancelled and replaced by stage 9a,
6,7/8/1982,233,Lille,Lille,Plain stage,Jan Raas,NED
7,7/10/1982,235,Cancale,Concarneau,Plain stage,Pol Verschuere,BEL
8,7/11/1982,201,Concarneau,Châteaulin,Plain stage,Frank Hoste,BEL
9a,7/12/1982,69,Lorient,Plumelec,Team time trial,Renault–Elf–Gitane,
9b,7/12/1982,138,Plumelec,Nantes,Plain stage,Stefan Mutter,SUI
10,7/13/1982,147,Saintes,Bordeaux,Plain stage,Pierre-Raymond Villemiane,FRA
11,7/14/1982,57,Valence d'Agen,Valence d'Agen,Individual time trial,Gerrie Knetemann,NED
12,7/15/1982,249,Fleurance,Pau,Stage with mountain(s),Sean Kelly,IRE
13,7/16/1982,122,Pau,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Beat Breu,SUI
14,7/18/1982,33,Martigues,Martigues,Individual time trial,Bernard Hinault,FRA
15,7/19/1982,208,Manosque,Orcières-Merlette,Stage with mountain(s),Pascal Simon,FRA
16,7/20/1982,123,Orcières-Merlette,Alpe d'Huez,Stage with mountain(s),Beat Breu,SUI
17,7/21/1982,251,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Peter Winnen,NED
18,7/22/1982,233,Morzine,Saint-Priest,Plain stage,Adrie van Houwelingen,NED
19,7/23/1982,48,Saint-Priest,Saint-Priest,Individual time trial,Bernard Hinault,FRA
20,7/24/1982,161,Sens,Aulnay-sous-Bois,Plain stage,Daniel Willems,BEL
21,7/25/1982,187,Fontenay-sous-Bois,Paris,Plain stage,Bernard Hinault,FRA
P,6/25/1981,6,Nice,Nice,Individual time trial,Bernard Hinault,FRA
1a,6/26/1981,97,Nice,Nice,Hilly stage,Freddy Maertens,BEL
1b,6/26/1981,40,Nice,Nice,Team time trial,TI–Raleigh–Creda,
2,6/27/1981,254,Nice,Martigues,Plain stage,Johan van der Velde,NED
3,6/28/1981,232,Martigues,Narbonne,Plain stage,Freddy Maertens,BEL
4,6/29/1981,77,Narbonne,Carcassonne,Team time trial,TI–Raleigh–Creda,
5,6/30/1981,117,Saint-Gaudens,Pla d'Adet,Stage with mountain(s),Lucien Van Impe,BEL
6,7/1/1981,27,Nay,Pau,Individual time trial,Bernard Hinault,FRA
7,7/2/1981,227,Pau,Bordeaux,Plain stage,Urs Freuler,SUI
8,7/3/1981,182,Rochefort,Nantes,Plain stage,Ad Wijnands,NED
9,7/5/1981,197,Nantes,Le Mans,Plain stage,René Martens,BEL
10,7/6/1981,264,Le Mans,Aulnay-sous-Bois,Plain stage,Ad Wijnands,NED
11,7/7/1981,246,Compiègne,Roubaix,Plain stage,Daniel Willems,BEL
12a,7/8/1981,107,Roubaix,Brussels,Plain stage,Freddy Maertens,BEL
12b,7/8/1981,138,Brussels,Circuit Zolder,Plain stage,Eddy Planckaert,BEL
13,7/9/1981,157,Beringen,Hasselt,Plain stage,Freddy Maertens,BEL
14,7/10/1981,38,Mulhouse,Mulhouse,Individual time trial,Bernard Hinault,FRA
15,7/11/1981,231,Besançon,Thonon-les-Bains,Hilly stage,Sean Kelly,IRE
16,7/12/1981,200,Thonon-les-Bains,Morzine,Stage with mountain(s),Robert Alban,FRA
17,7/14/1981,230,Morzine,Alpe d'Huez,Stage with mountain(s),Peter Winnen,NED
18,7/15/1981,134,Le Bourg-d'Oisans,Le Pleynet,Stage with mountain(s),Bernard Hinault,FRA
19,7/16/1981,118,Veurey,Saint-Priest,Plain stage,Daniel Willems,BEL
20,7/17/1981,46,Saint-Priest,Saint-Priest,Individual time trial,Bernard Hinault,FRA
21,7/18/1981,207,Auxerre,Fontenay-sous-Bois,Plain stage,Johan van der Velde,NED
22,7/19/1981,187,Fontenay-sous-Bois,Paris,Plain stage,Freddy Maertens,BEL
P,6/26/1980,8,Frankfurt,Frankfurt,Individual time trial,Bernard Hinault,FRA
1a,6/27/1980,133,Frankfurt,Wiesbaden,Plain stage,Jan Raas,NED
1b,6/27/1980,46,Wiesbaden,Frankfurt,Team time trial,TI–Raleigh–Creda,
2,6/28/1980,276,Frankfurt,Metz,Plain stage,Rudy Pevenage,BEL
3,6/29/1980,282,Metz,Liège,Plain stage,Henk Lubberding,NED
4,6/30/1980,35,Spa,Spa,Individual time trial,Bernard Hinault,FRA
5,7/1/1980,249,Liège,Lille,Plain stage,Bernard Hinault,FRA
6,7/2/1980,216,Lille,Compiègne,Plain stage,Jean-Louis Gauthier,FRA
7a,7/3/1980,65,Compiègne,Beauvais,Team time trial,TI–Raleigh–Creda,
7b,7/3/1980,92,Beauvais,Rouen,Plain stage,Jan Raas,NED
8,7/4/1980,164,Flers,Saint-Malo,Plain stage,Bert Oosterbosch,NED
9,7/6/1980,205,Saint-Malo,Nantes,Plain stage,Jan Raas,NED
10,7/7/1980,163,Rochefort,Bordeaux,Plain stage,Cees Priem,NED
11,7/8/1980,52,Damazan,Laplume,Individual time trial,Joop Zoetemelk,NED
12,7/9/1980,194,Agen,Pau,Plain stage,Gerrie Knetemann,NED
13,7/10/1980,200,Pau,Bagnères-de-Luchon,Stage with mountain(s),Raymond Martin,FRA
14,7/11/1980,189,Lézignan-Corbières,Montpellier,Plain stage,Ludo Peeters,BEL
15,7/12/1980,160,Montpellier,Martigues,Plain stage,Bernard Vallet,FRA
16,7/13/1980,209,Trets,Pra-Loup,Stage with mountain(s),Jos De Schoenmaecker,BEL
17,7/14/1980,242,Serre Chevalier,Morzine,Stage with mountain(s),Mariano Martínez,FRA
18,7/16/1980,199,Morzine,Prapoutel,Stage with mountain(s),Ludo Loos,BEL
19,7/17/1980,140,Voreppe,Saint-Étienne,Hilly stage,Sean Kelly,IRE
20,7/18/1980,34,Saint-Étienne,Saint-Étienne,Individual time trial,Joop Zoetemelk,NED
21,7/19/1980,208,Auxerre,Fontenay-sous-Bois,Plain stage,Sean Kelly,IRE
22,7/20/1980,186,Fontenay-sous-Bois,Paris,Plain stage,Pol Verschuere,BEL
P,6/27/1979,5,Fleurance,Fleurance,Individual time trial,Gerrie Knetemann,NED
1,6/28/1979,225,Fleurance,Luchon,Stage with mountain(s),René Bittinger,FRA
2,6/29/1979,24,Luchon,Superbagnères,Individual time trial,Bernard Hinault,FRA
3,6/30/1979,180,Luchon,Pau,Stage with mountain(s),Bernard Hinault,FRA
4,7/1/1979,87,Captieux,Bordeaux,Team time trial,TI–Raleigh–McGregor,
5,7/2/1979,145,Neuville-de-Poitou,Angers,Plain stage,Jan Raas,NED
6,7/3/1979,239,Angers,Saint-Brieuc,Plain stage,Jos Jacobs,BEL
7,7/4/1979,158,Saint-Hilaire-du-Harcouët,Deauville,Plain stage,Leo van Vliet,NED
8,7/5/1979,90,Deauville,Le Havre,Team time trial,TI–Raleigh–McGregor,
9,7/6/1979,201,Amiens,Roubaix,Plain stage,Ludo Delcroix,BEL
10,7/7/1979,124,Roubaix,Brussels,Plain stage,Jo Maas,NED
11,7/8/1979,33,Brussels,Brussels,Individual time trial,Bernard Hinault,FRA
12,7/9/1979,193,Rochefort,Metz,Plain stage,Christian Seznec,FRA
13,7/10/1979,202,Metz,Ballon d'Alsace,Hilly stage,Pierre-Raymond Villemiane,FRA
14,7/11/1979,248,Belfort,Évian-les-Bains,Plain stage,Marc Demeyer,BEL
15,7/12/1979,54,Évian-les-Bains,Morzine Avoriaz,Individual time trial,Bernard Hinault,FRA
16,7/13/1979,201,Morzine Avoriaz,Les Menuires,Stage with mountain(s),Lucien Van Impe,BEL
17,7/15/1979,167,Les Menuires,Alpe d'Huez,Stage with mountain(s),Joaquim Agostinho,POR
18,7/16/1979,119,Alpe d'Huez,Alpe d'Huez,Stage with mountain(s),Joop Zoetemelk,NED
19,7/17/1979,162,Alpe d'Huez,Saint-Priest,Plain stage,Dietrich Thurau,GER
20,7/18/1979,240,Saint-Priest,Dijon,Plain stage,Serge Parsani,ITA
21,7/19/1979,49,Dijon,Dijon,Individual time trial,Bernard Hinault,FRA
22,7/20/1979,189,Dijon,Auxerre,Plain stage,Gerrie Knetemann,NED
23,7/21/1979,205,Auxerre,Nogent-sur-Marne,Plain stage,Bernard Hinault,FRA
24,7/22/1979,180,Le Perreux-sur-Marne,Paris,Plain stage,Bernard Hinault,FRA
P,6/29/1978,5,Leiden,Leiden,Individual time trial,Jan Raas,NED
1a,6/30/1978,135,Leiden,Sint Willebrord,Plain stage,Jan Raas,NED
1b,6/30/1978,100,Sint Willebrord,Brussels,Plain stage,Walter Planckaert,BEL
2,7/1/1978,199,Brussels,Saint-Amand-les-Eaux,Plain stage,Jacques Esclassan,FRA
3,7/2/1978,244,Saint-Amand-les-Eaux,Saint-Germain-en-Laye,Plain stage,Klaus-Peter Thaler,GER
4,7/3/1978,153,Évreux,Caen,Team time trial,TI–Raleigh–McGregor,
5,7/4/1978,244,Caen,Mazé-Montgeoffroy,Plain stage,Freddy Maertens,BEL
6,7/5/1978,162,Mazé-Montgeoffroy,Poitiers,Plain stage,Sean Kelly,IRE
7,7/6/1978,242,Poitiers,Bordeaux,Plain stage,Freddy Maertens,BEL
8,7/7/1978,59,Saint-Émilion,Sainte-Foy-la-Grande,Individual time trial,Bernard Hinault,FRA
9,7/8/1978,233,Bordeaux,Biarritz,Plain stage,Miguel Maria Lasa,ESP
10,7/10/1978,192,Biarritz,Pau,Hilly stage,Henk Lubberding,NED
11,7/11/1978,161,Pau,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Mariano Martínez,FRA
12a,7/12/1978,158,Tarbes,Valence d'Agen,Plain stage,Cancelled,
12b,7/12/1978,96,Valence d'Agen,Toulouse,Plain stage,Jacques Esclassan,FRA
13,7/13/1978,221,Figeac,Super Besse,Hilly stage,Paul Wellens,BEL
14,7/14/1978,52,Besse-en-Chandesse,Puy de Dôme,Individual time trial,Joop Zoetemelk,NED
15,7/15/1978,196,Saint-Dier-d'Auvergne,Saint-Étienne,Hilly stage,Bernard Hinault,FRA
16,7/16/1978,241,St-Étienne,Alpe d'Huez,Stage with mountain(s),Hennie Kuiper,NED
17,7/18/1978,225,Grenoble,Morzine,Stage with mountain(s),Christian Seznec,FRA
18,7/19/1978,137,Morzine,Lausanne,Plain stage,Gerrie Knetemann,NED
19,7/20/1978,182,Lausanne,Belfort,Plain stage,Marc Demeyer,BEL
20,7/21/1978,72,Metz,Nancy,Individual time trial,Bernard Hinault,FRA
21,7/22/1978,207,Epernay,Senlis,Plain stage,Jan Raas,NED
22,7/23/1978,162,Saint Germain en Laye,Paris,Plain stage,Gerrie Knetemann,NED
P,6/30/1977,5,Fleurance,Fleurance,Individual time trial,Dietrich Thurau,FRG
1,7/1/1977,237,Fleurance,Auch,Plain stage,Pierre-Raymond Villemiane,FRA
2,7/2/1977,253,Auch,Pau,Stage with mountain(s),Dietrich Thurau,FRG
3,7/3/1977,248,Oloron-Sainte-Marie,Vitoria-Gasteiz,Stage with mountain(s),José Nazabal,ESP
4,7/4/1977,256,Vitoria-Gasteiz,Seignosse le Penon,Stage with mountain(s),Régis Delépine,FRA
5a,7/5/1977,139,Morcenx,Bordeaux,Plain stage,Jacques Esclassan,FRA
5b,7/5/1977,30,Bordeaux,Bordeaux,Individual time trial,Dietrich Thurau,FRG
6,7/7/1977,225,Bordeaux,Limoges,Plain stage,Jan Raas,NED
7a,7/8/1977,140,Jaunay-Clan,Angers,Plain stage,Patrick Sercu,BEL
7b,7/8/1977,4,Angers,Angers,Team time trial,Fiat France,
8,7/9/1977,247,Angers,Lorient,Plain stage,Giacinto Santambrogio,ITA
9,7/10/1977,187,Lorient,Rennes,Stage with mountain(s),Klaus-Peter Thaler,FRG
10,7/11/1977,174,Bagnoles-de-l'Orne,Rouen,Plain stage,Fedor den Hertog,NED
11,7/12/1977,242,Rouen,Roubaix,Plain stage,Jean-Pierre Danguillaume,FRA
12,7/13/1977,193,Roubaix,Charleroi,Stage with mountain(s),Patrick Sercu,BEL
13a,7/14/1977,46,Freiburg,Freiburg,Plain stage,Patrick Sercu,BEL
13b,7/14/1977,160,Altkirch ,Besançon,Plain stage,Jean-Pierre Danguillaume,FRA
14,7/16/1977,230,Besançon,Thonon-les-Bains,Stage with mountain(s),Bernard Quilfen,FRA
15a,7/17/1977,105,Thonon-les-Bains,Morzine,Stage with mountain(s),Paul Wellens,BEL
15b,7/17/1977,14,Morzine,Avoriaz,Individual time trial,Lucien Van Impe,BEL
16,7/18/1977,121,Morzine,Chamonix,Stage with mountain(s),Dietrich Thurau,FRG
17,7/19/1977,185,Chamonix,Alpe d'Huez,Stage with mountain(s),Hennie Kuiper,NED
18,7/20/1977,199,Rossignol Voiron,Saint-Étienne,Stage with mountain(s),no winner,
19,7/21/1977,172,Saint-Trivier-sur-Moignans,Dijon,Plain stage,Gerrie Knetemann,NED
20,7/22/1977,50,Dijon,Dijon,Individual time trial,Bernard Thévenet,FRA
21,7/23/1977,142,Montereau-Fault-Yonne,Versailles,Plain stage,Gerrie Knetemann,NED
22a,7/24/1977,6,Paris,Paris,Individual time trial,Dietrich Thurau,FRG
22b,7/24/1977,91,Paris,Paris,Plain stage,Alain Meslet,FRA
P,6/24/1976,8,Saint-Jean-de-Monts,Saint-Jean-de-Monts,Individual time trial,Freddy Maertens,BEL
1,6/25/1976,173,Saint-Jean-de-Monts,Angers,Flat Stage,Freddy Maertens,BEL
2,6/26/1976,237,Angers,Caen,Flat Stage,Giovanni Battaglin,ITA
3,6/27/1976,37,Le Touquet-Paris-Plage,Le Touquet-Paris-Plage,Individual time trial,Freddy Maertens,BEL
4,6/28/1976,258,Le Touquet-Paris-Plage,Bornem,Flat Stage,Hennie Kuiper,NED
5a,6/29/1976,4,Leuven,Leuven,Team time trial,TI–Raleigh–Campagnolo,
5b,6/29/1976,144,Leuven,Verviers,Half Stage,Miguel-Maria Lasa,ESP
6,6/30/1976,209,Bastogne,Nancy,Flat Stage,Aldo Parecchini,ITA
7,7/1/1976,206,Nancy,Mulhouse,Flat Stage,Freddy Maertens,BEL
8,7/2/1976,220,Valentigney,Divonne-les-Bains,Flat Stage,Jacques Esclassan,FRA
9,7/4/1976,258,Divonne-les-Bains,Alpe d'Huez,Mountain Stage,Joop Zoetemelk,NED
10,7/5/1976,166,Le Bourg-d'Oisans,Montgenèvre,Mountain Stage,Joop Zoetemelk,NED
11,7/6/1976,224,Montgenèvre,Manosque,Mountain Stage,José-Luis Viejo,ESP
12,7/8/1976,205,Le Barcarès,Pyrénées 2000,Mountain Stage,Raymond Delisle,FRA
13,7/9/1976,188,Font-Romeu-Odeillo-Via,Saint-Gaudens,Mountain Stage,Willy Teirlinck,BEL
14,7/10/1976,139,Saint-Gaudens,Saint-Lary-Soulan,Mountain Stage,Lucien Van Impe,BEL
15,7/11/1976,195,Saint-Lary-Soulan,Pau,Mountain Stage,Wladimiro Panizza,ITA
16,7/12/1976,152,Pau,Fleurance,Flat Stage,Michel Pollentier,BEL
17,7/13/1976,39,Fleurance,Auch,Individual time trial,Ferdinand Bracke,BEL
18a,7/14/1976,86,Auch,Langon,Half Stage,Freddy Maertens,BEL
18b,7/14/1976,123,Langon,Lacanau,Half Stage,Freddy Maertens,BEL
18c,7/14/1976,70,Lacanau,Bordeaux,Half Stage,Gerben Karstens,NED
19,7/15/1976,220,Sainte-Foy-la-Grande,Tulle,Flat Stage,Hubert Mathis,FRA
20,7/16/1976,220,Tulle,Puy de Dôme,Mountain Stage,Joop Zoetemelk,NED
21,7/17/1976,145,Montargis,Versailles,Flat Stage,Freddy Maertens,BEL
22a,7/18/1976,6,Paris,Paris,Individual time trial,Freddy Maertens,BEL
22b,7/18/1976,91,Paris,Paris,Half Stage,Gerben Karstens,NED
P,6/26/1975,6,Charleroi,Charleroi,Individual time trial,Francesco Moser,ITA
1a,6/27/1975,94,Charleroi,Molenbeek,Plain stage,Cees Priem,NED
1b,6/27/1975,109,Molenbeek,Roubaix,Plain stage,Rik Van Linden,BEL
2,6/28/1975,121,Roubaix,Amiens,Plain stage,Ronald de Witte,BEL
3,6/29/1975,170,Amiens,Versailles,Plain stage,Karel Rottiers,BEL
4,6/30/1975,223,Versailles,Le Mans,Plain stage,Jacques Esclassan,FRA
5,7/2/1975,222,Sablé-sur-Sarthe,Merlin-Plage,Plain stage,Theo Smit,NED
6,7/2/1975,16,Merlin-Plage,Merlin-Plage,Individual time trial,Eddy Merckx,BEL
7,7/3/1975,236,Saint-Gilles-Croix-de-Vie,Angoulême,Plain stage,Francesco Moser,ITA
8,7/4/1975,134,Angoulême,Bordeaux,Plain stage,Barry Hoban,GBR
9a,7/5/1975,131,Langon,Fleurance,Plain stage,Theo Smit,NED
9b,7/5/1975,37,Fleurance,Auch,Individual time trial,Eddy Merckx,BEL
10,7/7/1975,206,Auch,Pau,Stage with mountain(s),Felice Gimondi,ITA
11,7/8/1975,160,Pau,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Joop Zoetemelk,NED
12,7/9/1975,242,Tarbes,Albi,Plain stage,Gerrie Knetemann,NED
13,7/10/1975,260,Albi,Super-Lioran,Stage with mountain(s),Michel Pollentier,BEL
14,7/11/1975,174,Aurillac,Puy de Dôme,Stage with mountain(s),Lucien Van Impe,BEL
15,7/13/1975,217,Nice,Pra-Loup,Stage with mountain(s),Bernard Thévenet,FRA
16,7/14/1975,107,Barcelonnette,Serre Chevalier,Stage with mountain(s),Bernard Thévenet,FRA
17,7/15/1975,225,Valloire,Morzine Avoriaz,Stage with mountain(s),Vicente Lopez-Carril,ESP
18,7/16/1975,40,Morzine,Châtel,Individual time trial,Lucien Van Impe,BEL
19,7/17/1975,229,Thonon-les-Bains,Chalon-sur-Saône,Stage with mountain(s),Rik Van Linden,BEL
20,7/18/1975,256,Pouilly-en-Auxois,Melun,Plain stage,Giacinto Santambrogio,ITA
21,7/19/1975,220,Melun,Senlis,Plain stage,Rik Van Linden,BEL
22,7/20/1975,164,Paris,Paris,Plain stage,Walter Godefroot,BEL
P,6/27/1974,7,Brest,Brest,Individual time trial,Eddy Merckx,BEL
1,6/28/1974,144,Brest,Saint-Pol-de-Léon,Plain stage,Ercole Gualazzini,ITA
2,6/29/1974,164,Plymouth,Plymouth,Plain stage,Henk Poppe,NED
3,6/30/1974,190,Morlaix,Saint-Malo,Plain stage,Patrick Sercu,BEL
4,7/1/1974,184,Saint-Malo,Caen,Plain stage,Patrick Sercu,BEL
5,7/2/1974,165,Caen,Dieppe,Plain stage,Ronald de Witte,BEL
6a,7/3/1974,239,Dieppe,Harelbeke,Plain stage,Jean-Luc Molineris,FRA
6b,7/3/1974,9,Harelbeke,Harelbeke,Team time trial,Molteni,
7,7/4/1974,221,Mons,Châlons-sur-Marne,Plain stage,Eddy Merckx,BEL
8a,7/5/1974,136,Châlons-sur-Marne,Chaumont,Plain stage,Cyrille Guimard,FRA
8b,7/5/1974,152,Chaumont,Besançon,Plain stage,Patrick Sercu,BEL
9,7/6/1974,241,Besançon,Gaillard,Stage with mountain(s),Eddy Merckx,BEL
10,7/7/1974,131,Gaillard,Aix-les-Bains,Stage with mountain(s),Eddy Merckx,BEL
11,7/8/1974,199,Aix-les-Bains,Serre Chevalier,Stage with mountain(s),Vicente Lopez Carril,ESP
12,7/10/1974,231,Savines-le-Lac,Orange,Stage with mountain(s),Jos Spruyt,BEL
13,7/11/1974,126,Avignon,Montpellier,Plain stage,Barry Hoban,GBR
14,7/12/1974,249,Lodève,Colomiers,Plain stage,Jean-Pierre Genet,FRA
15,7/14/1974,225,Colomiers,La Seu d'Urgell,Stage with mountain(s),Eddy Merckx,BEL
16,7/15/1974,209,La Seu d'Urgell,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Raymond Poulidor,FRA
17,7/16/1974,119,Saint-Lary-Soulan,La Mongie,Stage with mountain(s),Jean-Pierre Danguillaume,FRA
18,7/17/1974,141,Bagnères-de-Bigorre,Pau,Stage with mountain(s),Jean-Pierre Danguillaume,FRA
19a,7/18/1974,196,Pau,Bordeaux,Plain stage,Francis Campaner,FRA
19b,7/18/1974,12,Bordeaux,Bordeaux,Individual time trial,Eddy Merckx,BEL
20,7/19/1974,120,Saint-Gilles-Croix-de-Vie,Nantes,Plain stage,Gerard Vianen,NED
21a,7/20/1974,113,Vouvray,Orléans,Plain stage,Eddy Merckx,BEL
21b,7/20/1974,37,Orléans,Orléans,Individual time trial,Michel Pollentier,BEL
22,7/21/1974,146,Orléans,Paris,Plain stage,Eddy Merckx,BEL
P,6/30/1973,7.1,Scheveningen,Scheveningen,Individual time trial,Joop Zoetemelk,NED
1a,7/1/1973,84,Scheveningen,Rotterdam,Plain stage,Willy Teirlinck,BEL
1b,7/1/1973,137.5,Rotterdam,Sint-Niklaas,Plain stage,José Catieau,FRA
2a,7/2/1973,12.4,Sint-Niklaas,Sint-Niklaas,Team time trial,Watney–Maes Pils,
2b,7/2/1973,138,Sint-Niklaas,Roubaix,Plain stage,Eddy Verstraeten,BEL
3,7/3/1973,226,Roubaix,Reims,Plain stage,Cyrille Guimard,FRA
4,7/4/1973,214,Reims,Nancy,Plain stage,Joop Zoetemelk,NED
5,7/5/1973,188,Nancy,Mulhouse,Stage with mountain(s),Walter Godefroot,BEL
6,7/6/1973,244.5,Mulhouse,Divonne-les-Bains,Stage with mountain(s),Jean-Pierre Danguillaume,FRA
7a,7/8/1973,86.5,Divonne-les-Bains,Gaillard,Stage with mountain(s),Luis Ocaña,ESP
7b,7/8/1973,150.5,Gaillard,Méribel,Stage with mountain(s),Bernard Thévenet,FRA
8,7/9/1973,237.5,Moûtiers,Les Orres,Stage with mountain(s),Luis Ocaña,ESP
9,7/10/1973,234.5,Embrun,Nice,Stage with mountain(s),Vicente López Carril,ESP
10,7/11/1973,222.5,Nice,Aubagne,Stage with mountain(s),Michael Wright,GBR
11,7/12/1973,238,Montpellier,Argelès-sur-Mer,Plain stage,Barry Hoban,GBR
12a,7/13/1973,28.3,Perpignan,Thuir,Individual time trial,Luis Ocaña,ESP
12b,7/13/1973,76,Thuir,Pyrénées 2000,Stage with mountain(s),Lucien Van Impe,BEL
13,7/15/1973,235,Bourg-Madame,Luchon,Stage with mountain(s),Luis Ocaña,ESP
14,7/16/1973,227.5,Luchon,Pau,Stage with mountain(s),Pedro Torres,ESP
15,7/17/1973,137,Pau,Fleurance,Plain stage,Wilfried David,BEL
16a,7/18/1973,210,Fleurance,Bordeaux,Plain stage,Walter Godefroot,BEL
16b,7/18/1973,12.4,Bordeaux,Bordeaux,Individual time trial,Joaquim Agostinho,POR
17,7/19/1973,248,Sainte-Foy-la-Grande,Brive-la-Gaillarde,Plain stage,Claude Tollet,FRA
18,7/20/1973,216.5,Brive-la-Gaillarde,Puy de Dôme,Stage with mountain(s),Luis Ocaña,ESP
19,7/21/1973,233.5,Bourges,Versailles,Plain stage,Barry Hoban,GBR
20a,7/22/1973,16,Versailles,Versailles,Individual time trial,Luis Ocaña,ESP
20b,7/22/1973,89,Versailles,Paris,Plain stage,Bernard Thévenet,FRA
P,7/1/1972,7.2,Angers,Angers,Individual time trial,Eddy Merckx,BEL
1,7/2/1972,235.5,Angers,Saint-Brieuc,Plain stage,Cyrille Guimard,FRA
2,7/3/1972,206.5,Saint-Brieuc,La Baule,Plain stage,Rik Van Linden,BEL
3a,7/4/1972,161,Pornichet,Saint-Jean-de-Monts,Plain stage,Ercole Gualazzini,ITA
3b,7/4/1972,16.2,Merlin-Plage,Merlin-Plage,Team time trial,Molteni,
4,7/5/1972,236,Merlin-Plage,Royan,Plain stage,Cyrille Guimard,FRA
5a,7/6/1972,133.5,Royan,Bordeaux,Plain stage,Walter Godefroot,BEL
5b,7/6/1972,12.7,Bordeaux,Bordeaux,Individual time trial,Eddy Merckx,BEL
6,7/7/1972,205,Bordeaux,Bayonne,Plain stage,Leo Duyndam,NED
7,7/9/1972,220.5,Bayonne,Pau,Stage with mountain(s),Yves Hézard,FRA
8,7/10/1972,163.5,Pau,Luchon,Stage with mountain(s),Eddy Merckx,BEL
9,7/11/1972,179,Luchon,Colomiers,Hilly stage,Jos Huysmans,BEL
10,7/12/1972,210,Castres,La Grande-Motte,Plain stage,Willy Teirlinck,BEL
11,7/13/1972,207,Carnon-Plage,Mont Ventoux,Stage with mountain(s),Bernard Thévenet,FRA
12,7/14/1972,192,Carpentras,Orcières,Stage with mountain(s),Lucien Van Impe,BEL
