Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
17,7/20/2005,239.5,Pau,Revel,Plain stage,Paolo Savoldelli,ITA
18,7/21/2005,189,Albi,Mende,Hilly stage,Marcos Antonio Serrano,ESP
19,7/22/2005,153.5,Issoire,Le Puy-en-Velay,Hilly stage,Giuseppe Guerini,ITA
20,7/23/2005,55.5,Saint-Étienne,Saint-Étienne,Individual time trial,Lance Armstrong,USA
21,7/24/2005,144.5,Corbeil-Essonnes,Paris,Plain stage,Alexander Vinokourov,KAZ
P,7/3/2004,6.1,Liège,Liège,Individual time trial,Fabian Cancellara,SUI
1,7/4/2004,202.5,Liège,Charleroi,Plain stage,Jaan Kirsipuu,EST
2,7/5/2004,197,Charleroi,Namur,Plain stage,Robbie McEwen,AUS
3,7/6/2004,210,Waterloo,Wasquehal,Plain stage,Jean-Patrick Nazon,FRA
4,7/7/2004,64.5,Cambrai,Arras,Team time trial,U.S. Postal Service,USA
5,7/8/2004,200.5,Amiens,Chartres,Plain stage,Stuart O'Grady,AUS
6,7/9/2004,196,Bonneval,Angers,Plain stage,Tom Boonen,BEL
7,7/10/2004,204.5,Châteaubriant,Saint-Brieuc,Plain stage,Filippo Pozzato,ITA
8,7/11/2004,168,Lamballe,Quimper,Plain stage,Thor Hushovd,NOR
9,7/13/2004,160.5,Saint-Léonard-de-Noblat,Guéret,Plain stage,Robbie McEwen,AUS
10,7/14/2004,237,Limoges,Saint-Flour,Hilly stage,Richard Virenque,FRA
11,7/15/2004,164,Saint-Flour,Figeac,Hilly stage,David Moncoutié,FRA
12,7/16/2004,197.5,Castelsarrasin,La Mongie,Mountain stage,Ivan Basso,ITA
13,7/17/2004,205.5,Lannemezan,Plateau de Beille,Mountain stage,Lance Armstrong,USA
14,7/18/2004,192.5,Carcassonne,Nîmes,Plain stage,Aitor González,ESP
15,7/20/2004,180.5,Valréas,Villard-de-Lans,Mountain stage,Lance Armstrong,USA
16,7/21/2004,15.5,Le Bourg-d'Oisans,Alpe d'Huez,Individual time trial,Lance Armstrong,USA
17,7/22/2004,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,Mountain stage,Lance Armstrong,USA
18,7/23/2004,166.5,Annemasse,Lons-le-Saunier,Hilly stage,Juan Miguel Mercado,ESP
19,7/24/2004,55,Besançon,Besançon,Individual time trial,Lance Armstrong,USA
20,7/25/2004,163,Montereau-Fault-Yonne,Paris,Plain stage,Tom Boonen,BEL
P,7/5/2003,6.5,Paris,Paris,Individual time trial,Bradley McGee,AUS
1,7/6/2003,168,Saint-Denis,Meaux,Plain stage,Alessandro Petacchi,ITA
2,7/7/2003,204.5,La Ferté-sous-Jouarre,Sedan,Plain stage,Baden Cooke,AUS
3,7/8/2003,167.5,Charleville-Mézières,Saint-Dizier,Plain stage,Alessandro Petacchi,ITA
4,7/9/2003,69,Joinville,Saint-Dizier,Team time trial,U.S. Postal Service,USA
5,7/10/2003,196.5,Troyes,Nevers,Plain stage,Alessandro Petacchi,ITA
6,7/11/2003,230,Nevers,Lyon,Plain stage,Alessandro Petacchi,ITA
7,7/12/2003,230.5,Lyon,Morzine,Stage with mountain(s),Richard Virenque,FRA
8,7/13/2003,219,Sallanches,Alpe d'Huez,Stage with mountain(s),Iban Mayo,ESP
9,7/14/2003,184.5,Le Bourg-d'Oisans,Gap,Stage with mountain(s),Alexander Vinokourov,KAZ
10,7/15/2003,219.5,Gap,Marseille,Plain stage,Jakob Piil,DEN
11,7/17/2003,153.5,Narbonne,Toulouse,Plain stage,Juan Antonio Flecha,ESP
12,7/18/2003,47,Gaillac,Cap Découverte,Individual time trial,Jan Ullrich,GER
13,7/19/2003,197.5,Toulouse,Ax 3 Domaines,Stage with mountain(s),Carlos Sastre,ESP
14,7/20/2003,191.5,Saint-Girons,Loudenvielle,Stage with mountain(s),Gilberto Simoni,ITA
15,7/21/2003,159.5,Bagnères-de-Bigorre,Luz Ardiden,Stage with mountain(s),Lance Armstrong,USA
