Date,Race,Rank,Rider,CQ
11/07/2019,"Tour de France, Stage 6 : Mulhouse - La Planche des Belles Filles",27.,BARDET Romain,0
10/07/2019,"Tour de France, Stage 5 : Saint-Dié-des-Vosges - Colmar",25.,BARDET Romain,0
9/07/2019,"Tour de France, Stage 4 : Reims - Nancy",49.,BARDET Romain,0
8/07/2019,"Tour de France, Stage 3 : Binche (BEL) - Epernay",16.,BARDET Romain,0
7/07/2019,"Tour de France, Stage 2 : Brussel (BEL) T.T.T.",19.,BARDET Romain,0
6/07/2019,"Tour de France, Stage 1 : Brussel (BEL) - Brussel (BEL)",92.,BARDET Romain,0
17/06/2019,Mont Ventoux Dénivelé Challenge,2.,BARDET Romain,48
16/06/2019,Critérium du Dauphiné,10.,BARDET Romain,70
16/06/2019,"Critérium du Dauphiné, Stage 8 : Cluses - Champéry (SUI)",13.,BARDET Romain,0
15/06/2019,"Critérium du Dauphiné, Stage 7 : Saint-Genix-les-Villages - Pipay",7.,BARDET Romain,2
14/06/2019,"Critérium du Dauphiné, Stage 6 : Saint-Vulbas - Saint-Michel-de-Maurienne",12.,BARDET Romain,0
13/06/2019,"Critérium du Dauphiné, Stage 5 : Boën-sur-Lignon - Voiron",38.,BARDET Romain,0
12/06/2019,"Critérium du Dauphiné, Stage 4 : Roanne - Roanne I.T.T.",27.,BARDET Romain,0
11/06/2019,"Critérium du Dauphiné, Stage 3 : Le Puy-en-Velay - Riom",57.,BARDET Romain,0
10/06/2019,"Critérium du Dauphiné, Stage 2 : Mauriac - Craponne-sur-Arzon",19.,BARDET Romain,0
9/06/2019,"Critérium du Dauphiné, Stage 1 : Aurillac - Jussac",32.,BARDET Romain,0
28/04/2019,Liège - Bastogne - Liège,21.,BARDET Romain,22
24/04/2019,Flèche Wallonne,13.,BARDET Romain,30
21/04/2019,Amstel Gold Race,9.,BARDET Romain,52
16/04/2019,Paris - Camembert,42.,BARDET Romain,0
31/03/2019,"Volta a Catalunya, Stage 7 : Barcelona - Barcelona",DNF,BARDET Romain,0
30/03/2019,"Volta a Catalunya, Stage 6 : Valls - Vilaseca",12.,BARDET Romain,0
29/03/2019,"Volta a Catalunya, Stage 5 : Puigcerda - Sant Cugat",42.,BARDET Romain,0
28/03/2019,"Volta a Catalunya, Stage 4 : Llanars - La Molina",12.,BARDET Romain,0
27/03/2019,"Volta a Catalunya, Stage 3 : Sant Feliu de Guixols - Vallter 2000",12.,BARDET Romain,0
26/03/2019,"Volta a Catalunya, Stage 2 : Mataro - Sant Feliu de Guixols",19.,BARDET Romain,0
25/03/2019,"Volta a Catalunya, Stage 1 : Calella - Calella",20.,BARDET Romain,0
23/03/2019,Milano - Sanremo,50.,BARDET Romain,5
17/03/2019,Paris - Nice,5.,BARDET Romain,120
17/03/2019,"Paris - Nice, Stage 8 : Nice - Nice",15.,BARDET Romain,0
16/03/2019,"Paris - Nice, Stage 7 : Nice - Col de Turini",18.,BARDET Romain,0
15/03/2019,"Paris - Nice, Stage 6 : Peynier - Brignoles",32.,BARDET Romain,0
14/03/2019,"Paris - Nice, Stage 5 : Barbentane - Barbentane I.T.T.",28.,BARDET Romain,0
13/03/2019,"Paris - Nice, Stage 4 : Vichy - Pélussin",26.,BARDET Romain,0
12/03/2019,"Paris - Nice, Stage 3 : Cepoy - Moulins-Yzeure",58.,BARDET Romain,0
11/03/2019,"Paris - Nice, Stage 2 : Les Bréviaires - Bellegarde",24.,BARDET Romain,0
10/03/2019,"Paris - Nice, Stage 1 : Saint-Germain-en-Laye - Saint-Germain-en-Laye",45.,BARDET Romain,0
3/03/2019,Drôme Classic,7.,BARDET Romain,24
2/03/2019,Classic d'Ardèche,4.,BARDET Romain,36
24/02/2019,Tour du Haut-Var,2.,BARDET Romain,80
24/02/2019,"Tour du Haut-Var, Stage 3 : La Londe - Mont Faron",2.,BARDET Romain,10
23/02/2019,"Tour du Haut-Var, Stage 2 : Vidauban - Mons",3.,BARDET Romain,5
22/02/2019,"Tour du Haut-Var, Stage 1 : Vence - Mandelieu-la-Napoule",13.,BARDET Romain,0
23/06/2019,Tour de Suisse,43.0,BIDARD François,5
23/06/2019,"Tour de Suisse, Stage 9 : Ulrichen - Ulrichen",115.0,BIDARD François,0
22/06/2019,"Tour de Suisse, Stage 8 : Goms - Goms I.T.T.",121.0,BIDARD François,0
21/06/2019,"Tour de Suisse, Stage 7 : Unterterzen - San Gottardo",19.0,BIDARD François,0
20/06/2019,"Tour de Suisse, Stage 6 : Einsiedeln - Flumserberg",3.0,BIDARD François,18
19/06/2019,"Tour de Suisse, Stage 5 : Münchenstein - Einsiedeln",41.0,BIDARD François,0
18/06/2019,"Tour de Suisse, Stage 4 : Murten - Arlesheim",73.0,BIDARD François,0
17/06/2019,"Tour de Suisse, Stage 3 : Flamatt - Murten",47.0,BIDARD François,0
16/06/2019,"Tour de Suisse, Stage 2 : Langnau im Emmental - Langnau im Emmental",30.0,BIDARD François,0
15/06/2019,"Tour de Suisse, Stage 1 : Langnau im Emmental I.T.T.",124.0,BIDARD François,0
2/06/2019,Giro d'Italia,30.0,BIDARD François,44
2/06/2019,"Giro d'Italia, Stage 21 : Verona - Verona I.T.T.",91.0,BIDARD François,0
1/06/2019,"Giro d'Italia, Stage 20 : Feltre - Croce d'Aune/Monte Avena",36.0,BIDARD François,0
31/05/2019,"Giro d'Italia, Stage 19 : Treviso - San Martino di Castrozza",6.0,BIDARD François,7
30/05/2019,"Giro d'Italia, Stage 18 : Valdaora - Santa Maria di Sala",59.0,BIDARD François,0
29/05/2019,"Giro d'Italia, Stage 17 : Commezzadura - Anterselva",47.0,BIDARD François,0
28/05/2019,"Giro d'Italia, Stage 16 : Lovere - Ponte di Legno",33.0,BIDARD François,0
26/05/2019,"Giro d'Italia, Stage 15 : Ivrea - Como",40.0,BIDARD François,0
25/05/2019,"Giro d'Italia, Stage 14 : Saint-Vincent - Courmayeur",29.0,BIDARD François,0
24/05/2019,"Giro d'Italia, Stage 13 : Pinerolo - Ceresole Reale/Lago Serru",57.0,BIDARD François,0
23/05/2019,"Giro d'Italia, Stage 12 : Cuneo - Pinerolo",60.0,BIDARD François,0
22/05/2019,"Giro d'Italia, Stage 11 : Carpi - Novi Ligure",110.0,BIDARD François,0
21/05/2019,"Giro d'Italia, Stage 10 : Ravenna - Modena",98.0,BIDARD François,0
19/05/2019,"Giro d'Italia, Stage 9 : Riccione - San Marino (SMR) I.T.T.",120.0,BIDARD François,0
18/05/2019,"Giro d'Italia, Stage 8 : Tortoredo Lido - Pesaro",68.0,BIDARD François,0
17/05/2019,"Giro d'Italia, Stage 7 : Vasto - L'Aquila",42.0,BIDARD François,0
16/05/2019,"Giro d'Italia, Stage 6 : Cassino - San Giovanni Rotondo",106.0,BIDARD François,0
15/05/2019,"Giro d'Italia, Stage 5 : Frascati - Terracina",104.0,BIDARD François,0
14/05/2019,"Giro d'Italia, Stage 4 : Orbetello - Frascati",87.0,BIDARD François,0
13/05/2019,"Giro d'Italia, Stage 3 : Vinci - Orbetello",107.0,BIDARD François,0
12/05/2019,"Giro d'Italia, Stage 2 : Bologna - Fucecchio",124.0,BIDARD François,0
11/05/2019,"Giro d'Italia, Stage 1 : Bologna - San Luca I.T.T.",115.0,BIDARD François,0
1/05/2019,Rund um den Finanzplatz Eschborn - Frankfurt,87.0,BIDARD François,5
26/04/2019,Tour of the Alps,38.0,BIDARD François,5
7/04/2019,La Roue Tourangelle,31.0,BIDARD François,0
5/04/2019,Route Adélie de Vitré,99.0,BIDARD François,0
31/03/2019,Volta a Catalunya,57.0,BIDARD François,5
31/03/2019,"Volta a Catalunya, Stage 7 : Barcelona - Barcelona",26.0,BIDARD François,0
30/03/2019,"Volta a Catalunya, Stage 6 : Valls - Vilaseca",52.0,BIDARD François,0
29/03/2019,"Volta a Catalunya, Stage 5 : Puigcerda - Sant Cugat",34.0,BIDARD François,0
28/03/2019,"Volta a Catalunya, Stage 4 : Llanars - La Molina",133.0,BIDARD François,0
27/03/2019,"Volta a Catalunya, Stage 3 : Sant Feliu de Guixols - Vallter 2000",90.0,BIDARD François,0
26/03/2019,"Volta a Catalunya, Stage 2 : Mataro - Sant Feliu de Guixols",100.0,BIDARD François,0
25/03/2019,"Volta a Catalunya, Stage 1 : Calella - Calella",91.0,BIDARD François,0
9/03/2019,Strade Bianche,59.0,BIDARD François,5
3/03/2019,Drôme Classic,53.0,BIDARD François,0
2/03/2019,Classic d'Ardèche,95.0,BIDARD François,0
17/02/2019,Trofeo Laigueglia,9.0,BIDARD François,30
10/02/2019,Etoile de Bessèges,57.0,BIDARD François,0
3/02/2019,GP La Marseillaise,93.0,BIDARD François,0
30/06/2019,National Championships France (La Haye-Fouassière) R.R.,58.,BOUCHARD Geoffrey,0
23/06/2019,Tour de Suisse,50.,BOUCHARD Geoffrey,5
23/06/2019,"Tour de Suisse, Stage 9 : Ulrichen - Ulrichen",39.,BOUCHARD Geoffrey,0
22/06/2019,"Tour de Suisse, Stage 8 : Goms - Goms I.T.T.",116.,BOUCHARD Geoffrey,0
21/06/2019,"Tour de Suisse, Stage 7 : Unterterzen - San Gottardo",34.,BOUCHARD Geoffrey,0
20/06/2019,"Tour de Suisse, Stage 6 : Einsiedeln - Flumserberg",73.,BOUCHARD Geoffrey,0
19/06/2019,"Tour de Suisse, Stage 5 : Münchenstein - Einsiedeln",83.,BOUCHARD Geoffrey,0
18/06/2019,"Tour de Suisse, Stage 4 : Murten - Arlesheim",107.,BOUCHARD Geoffrey,0
17/06/2019,"Tour de Suisse, Stage 3 : Flamatt - Murten",84.,BOUCHARD Geoffrey,0
16/06/2019,"Tour de Suisse, Stage 2 : Langnau im Emmental - Langnau im Emmental",53.,BOUCHARD Geoffrey,0
15/06/2019,"Tour de Suisse, Stage 1 : Langnau im Emmental I.T.T.",96.,BOUCHARD Geoffrey,0
13/06/2019,GP Kanton Aargau - Gippingen,45.,BOUCHARD Geoffrey,0
26/05/2019,Tour de l'Ain,25.,BOUCHARD Geoffrey,4
25/05/2019,"Tour de l'Ain, Stage 2 : Bellignat - Col de la Faucille",18.,BOUCHARD Geoffrey,0
1/05/2019,Rund um den Finanzplatz Eschborn - Frankfurt,50.,BOUCHARD Geoffrey,5
26/04/2019,"Tour of the Alps, Stage 5 : Caldaro - Bolzano",DNF,BOUCHARD Geoffrey,0
16/04/2019,Paris - Camembert,60.,BOUCHARD Geoffrey,0
7/04/2019,La Roue Tourangelle,44.,BOUCHARD Geoffrey,0
5/04/2019,Route Adélie de Vitré,75.,BOUCHARD Geoffrey,0
31/03/2019,Volta a Catalunya,76.,BOUCHARD Geoffrey,5
31/03/2019,"Volta a Catalunya, Stage 7 : Barcelona - Barcelona",58.,BOUCHARD Geoffrey,0
30/03/2019,"Volta a Catalunya, Stage 6 : Valls - Vilaseca",137.,BOUCHARD Geoffrey,0
29/03/2019,"Volta a Catalunya, Stage 5 : Puigcerda - Sant Cugat",117.,BOUCHARD Geoffrey,0
28/03/2019,"Volta a Catalunya, Stage 4 : Llanars - La Molina",135.,BOUCHARD Geoffrey,0
27/03/2019,"Volta a Catalunya, Stage 3 : Sant Feliu de Guixols - Vallter 2000",52.,BOUCHARD Geoffrey,0
26/03/2019,"Volta a Catalunya, Stage 2 : Mataro - Sant Feliu de Guixols",117.,BOUCHARD Geoffrey,0
25/03/2019,"Volta a Catalunya, Stage 1 : Calella - Calella",102.,BOUCHARD Geoffrey,0
2/03/2019,UAE Tour,19.,BOUCHARD Geoffrey,18
2/03/2019,"UAE Tour, Stage 7 : Dubai - Dubai",71.,BOUCHARD Geoffrey,0
1/03/2019,"UAE Tour, Stage 6 : Ajman - Jabel Jais",22.,BOUCHARD Geoffrey,0
28/02/2019,"UAE Tour, Stage 5 : Sharjah - Khor Fakkan",94.,BOUCHARD Geoffrey,0
27/02/2019,"UAE Tour, Stage 4 : Dubai - Hatta Dam",30.,BOUCHARD Geoffrey,0
26/02/2019,"UAE Tour, Stage 3 : Al Ain - Jebel Hafeet",18.,BOUCHARD Geoffrey,0
25/02/2019,"UAE Tour, Stage 2 : Abu Dhabi - Abu Dhabi",109.,BOUCHARD Geoffrey,0
24/02/2019,"UAE Tour, Stage 1 : Al Hudayriat T.T.T.",18.,BOUCHARD Geoffrey,0
10/02/2019,Volta a la Comunitat Valenciana,25.,BOUCHARD Geoffrey,4
15/07/2019,"Tour de France, Stage 10 : Saint-Flour - Albi",28.,CHEREL Mikael,0
14/07/2019,"Tour de France, Stage 9 : Saint-Étienne - Brioude",44.,CHEREL Mikael,0
13/07/2019,"Tour de France, Stage 8 : Mâcon - Saint-Étienne",71.,CHEREL Mikael,0
12/07/2019,"Tour de France, Stage 7 : Belfort - Chalon-sur-Saône",74.,CHEREL Mikael,0
11/07/2019,"Tour de France, Stage 6 : Mulhouse - La Planche des Belles Filles",37.,CHEREL Mikael,0
10/07/2019,"Tour de France, Stage 5 : Saint-Dié-des-Vosges - Colmar",36.,CHEREL Mikael,0
9/07/2019,"Tour de France, Stage 4 : Reims - Nancy",143.,CHEREL Mikael,0
8/07/2019,"Tour de France, Stage 3 : Binche (BEL) - Epernay",64.,CHEREL Mikael,0
7/07/2019,"Tour de France, Stage 2 : Brussel (BEL) T.T.T.",-,CHEREL Mikael,0
6/07/2019,"Tour de France, Stage 1 : Brussel (BEL) - Brussel (BEL)",89.,CHEREL Mikael,0
30/06/2019,National Championships France (La Haye-Fouassière) R.R.,17.,CHEREL Mikael,9
16/06/2019,Critérium du Dauphiné,23.,CHEREL Mikael,14
16/06/2019,"Critérium du Dauphiné, Stage 8 : Cluses - Champéry (SUI)",38.,CHEREL Mikael,0
15/06/2019,"Critérium du Dauphiné, Stage 7 : Saint-Genix-les-Villages - Pipay",31.,CHEREL Mikael,0
14/06/2019,"Critérium du Dauphiné, Stage 6 : Saint-Vulbas - Saint-Michel-de-Maurienne",34.,CHEREL Mikael,0
13/06/2019,"Critérium du Dauphiné, Stage 5 : Boën-sur-Lignon - Voiron",53.,CHEREL Mikael,0
12/06/2019,"Critérium du Dauphiné, Stage 4 : Roanne - Roanne I.T.T.",93.,CHEREL Mikael,0
11/06/2019,"Critérium du Dauphiné, Stage 3 : Le Puy-en-Velay - Riom",61.,CHEREL Mikael,0
10/06/2019,"Critérium du Dauphiné, Stage 2 : Mauriac - Craponne-sur-Arzon",20.,CHEREL Mikael,0
9/06/2019,"Critérium du Dauphiné, Stage 1 : Aurillac - Jussac",49.,CHEREL Mikael,0
1/06/2019,GP de Plumelec-Morbihan,35.,CHEREL Mikael,0
28/04/2019,Liège - Bastogne - Liège,76.,CHEREL Mikael,5
24/04/2019,Flèche Wallonne,37.,CHEREL Mikael,5
21/04/2019,Amstel Gold Race,51.,CHEREL Mikael,5
13/04/2019,Itzulia Basque Country,69.,CHEREL Mikael,5
13/04/2019,"Itzulia Basque Country, Stage 6 : Eibar - Eibar",34.,CHEREL Mikael,0
12/04/2019,"Itzulia Basque Country, Stage 5 : Arrigorriaga - Arrate",53.,CHEREL Mikael,0
11/04/2019,"Itzulia Basque Country, Stage 4 : Vitoria-Gasteiz - Arrigorriaga",36.,CHEREL Mikael,0
10/04/2019,"Itzulia Basque Country, Stage 3 : Sarriguren - Estibaliz",147.,CHEREL Mikael,0
9/04/2019,"Itzulia Basque Country, Stage 2 : Zumarraga - Gorraiz",97.,CHEREL Mikael,0
8/04/2019,"Itzulia Basque Country, Stage 1 : Zumarraga - Zumarraga I.T.T.",144.,CHEREL Mikael,0
17/03/2019,Paris - Nice,22.,CHEREL Mikael,16
17/03/2019,"Paris - Nice, Stage 8 : Nice - Nice",36.,CHEREL Mikael,0
16/03/2019,"Paris - Nice, Stage 7 : Nice - Col de Turini",27.,CHEREL Mikael,0
15/03/2019,"Paris - Nice, Stage 6 : Peynier - Brignoles",26.,CHEREL Mikael,0
14/03/2019,"Paris - Nice, Stage 5 : Barbentane - Barbentane I.T.T.",117.,CHEREL Mikael,0
13/03/2019,"Paris - Nice, Stage 4 : Vichy - Pélussin",47.,CHEREL Mikael,0
12/03/2019,"Paris - Nice, Stage 3 : Cepoy - Moulins-Yzeure",60.,CHEREL Mikael,0
11/03/2019,"Paris - Nice, Stage 2 : Les Bréviaires - Bellegarde",29.,CHEREL Mikael,0
10/03/2019,"Paris - Nice, Stage 1 : Saint-Germain-en-Laye - Saint-Germain-en-Laye",100.,CHEREL Mikael,0
24/02/2019,Tour du Haut-Var,44.,CHEREL Mikael,0
17/02/2019,Tour La Provence,31.,CHEREL Mikael,0
16/02/2019,"Tour La Provence, Stage 3 : Aubagne - Le Castellet",17.,CHEREL Mikael,0
15/02/2019,"Tour La Provence, Stage 2 : Istres - La Ciotat",11.,CHEREL Mikael,0
3/02/2019,GP La Marseillaise,35.,CHEREL Mikael,0
30/06/2019,National Championships France (La Haye-Fouassière) R.R.,46.,CHEVRIER Clément,0
23/06/2019,Route d'Occitanie,30.,CHEVRIER Clément,3
13/06/2019,GP Kanton Aargau - Gippingen,36.,CHEVRIER Clément,0
26/05/2019,Tour de l'Ain,31.,CHEVRIER Clément,0
5/05/2019,Tour de Romandie,44.,CHEVRIER Clément,5
5/05/2019,"Tour de Romandie, Stage 5 : Genève I.T.T.",110.,CHEVRIER Clément,0
4/05/2019,"Tour de Romandie, Stage 4 : Lucens - Torgon",49.,CHEVRIER Clément,0
3/05/2019,"Tour de Romandie, Stage 3 : Romont - Romont",39.,CHEVRIER Clément,0
2/05/2019,"Tour de Romandie, Stage 2 : Le Locles - Morgins",86.,CHEVRIER Clément,0
1/05/2019,"Tour de Romandie, Stage 1 : Neuchâtel - La-Chaux-de-Fonds",57.,CHEVRIER Clément,0
30/04/2019,"Tour de Romandie, Prologue : Neuchâtel I.T.T.",132.,CHEVRIER Clément,0
28/04/2019,Liège - Bastogne - Liège,95.,CHEVRIER Clément,5
24/04/2019,Flèche Wallonne,DNF,CHEVRIER Clément,0
21/04/2019,Amstel Gold Race,95.,CHEVRIER Clément,5
13/04/2019,Itzulia Basque Country,81.,CHEVRIER Clément,5
13/04/2019,"Itzulia Basque Country, Stage 6 : Eibar - Eibar",83.,CHEVRIER Clément,0
12/04/2019,"Itzulia Basque Country, Stage 5 : Arrigorriaga - Arrate",74.,CHEVRIER Clément,0
11/04/2019,"Itzulia Basque Country, Stage 4 : Vitoria-Gasteiz - Arrigorriaga",91.,CHEVRIER Clément,0
10/04/2019,"Itzulia Basque Country, Stage 3 : Sarriguren - Estibaliz",79.,CHEVRIER Clément,0
9/04/2019,"Itzulia Basque Country, Stage 2 : Zumarraga - Gorraiz",122.,CHEVRIER Clément,0
8/04/2019,"Itzulia Basque Country, Stage 1 : Zumarraga - Zumarraga I.T.T.",128.,CHEVRIER Clément,0
31/03/2019,GP Cholet - Pays De Loire,54.,CHEVRIER Clément,0
30/03/2019,Classic Loire Atlantique,57.,CHEVRIER Clément,0
10/02/2019,Volta a la Comunitat Valenciana,67.,CHEVRIER Clément,0
27/01/2019,Cadel Evans Great Ocean Road Race,26.,CHEVRIER Clément,5
20/01/2019,Tour Down Under,72.,CHEVRIER Clément,5
20/01/2019,"Tour Down Under, Stage 6 : McLaren Vale - Willunga Hill",40.,CHEVRIER Clément,0
19/01/2019,"Tour Down Under, Stage 5 : Glenelg - Strathalbyn",104.,CHEVRIER Clément,0
18/01/2019,"Tour Down Under, Stage 4 : Unley - Campbelltown",47.,CHEVRIER Clément,0
17/01/2019,"Tour Down Under, Stage 3 : Lobethal - Uraidla",123.,CHEVRIER Clément,0
16/01/2019,"Tour Down Under, Stage 2 : Norwood - Angaston",62.,CHEVRIER Clément,0
15/01/2019,"Tour Down Under, Stage 1 : Barnsley - Bedale",79.,CHEVRIER Clément,0
15/07/2019,"Tour de France, Stage 10 : Saint-Flour - Albi",157.,COSNEFROY Benoit,0
14/07/2019,"Tour de France, Stage 9 : Saint-Étienne - Brioude",67.,COSNEFROY Benoit,0
13/07/2019,"Tour de France, Stage 8 : Mâcon - Saint-Étienne",170.,COSNEFROY Benoit,0
12/07/2019,"Tour de France, Stage 7 : Belfort - Chalon-sur-Saône",163.,COSNEFROY Benoit,0
11/07/2019,"Tour de France, Stage 6 : Mulhouse - La Planche des Belles Filles",72.,COSNEFROY Benoit,0
10/07/2019,"Tour de France, Stage 5 : Saint-Dié-des-Vosges - Colmar",107.,COSNEFROY Benoit,0
9/07/2019,"Tour de France, Stage 4 : Reims - Nancy",152.,COSNEFROY Benoit,0
8/07/2019,"Tour de France, Stage 3 : Binche (BEL) - Epernay",172.,COSNEFROY Benoit,0
7/07/2019,"Tour de France, Stage 2 : Brussel (BEL) T.T.T.",19.,COSNEFROY Benoit,0
6/07/2019,"Tour de France, Stage 1 : Brussel (BEL) - Brussel (BEL)",176.,COSNEFROY Benoit,0
16/06/2019,Critérium du Dauphiné,80.,COSNEFROY Benoit,5
16/06/2019,"Critérium du Dauphiné, Stage 8 : Cluses - Champéry (SUI)",82.,COSNEFROY Benoit,0
15/06/2019,"Critérium du Dauphiné, Stage 7 : Saint-Genix-les-Villages - Pipay",56.,COSNEFROY Benoit,0
14/06/2019,"Critérium du Dauphiné, Stage 6 : Saint-Vulbas - Saint-Michel-de-Maurienne",127.,COSNEFROY Benoit,0
13/06/2019,"Critérium du Dauphiné, Stage 5 : Boën-sur-Lignon - Voiron",101.,COSNEFROY Benoit,0
12/06/2019,"Critérium du Dauphiné, Stage 4 : Roanne - Roanne I.T.T.",108.,COSNEFROY Benoit,0
11/06/2019,"Critérium du Dauphiné, Stage 3 : Le Puy-en-Velay - Riom",128.,COSNEFROY Benoit,0
10/06/2019,"Critérium du Dauphiné, Stage 2 : Mauriac - Craponne-sur-Arzon",114.,COSNEFROY Benoit,0
9/06/2019,"Critérium du Dauphiné, Stage 1 : Aurillac - Jussac",9.,COSNEFROY Benoit,0
2/06/2019,Boucles de l'Aulne - Châteaulin,70.,COSNEFROY Benoit,0
1/06/2019,GP de Plumelec-Morbihan,1.,COSNEFROY Benoit,80
28/04/2019,Liège - Bastogne - Liège,45.,COSNEFROY Benoit,5
24/04/2019,Flèche Wallonne,12.,COSNEFROY Benoit,35
21/04/2019,Amstel Gold Race,44.,COSNEFROY Benoit,5
16/04/2019,Paris - Camembert,1.,COSNEFROY Benoit,80
12/04/2019,Circuit de la Sarthe - Pays de la Loire,39.,COSNEFROY Benoit,0
17/03/2019,Paris - Nice,79.,COSNEFROY Benoit,5
17/03/2019,"Paris - Nice, Stage 8 : Nice - Nice",41.,COSNEFROY Benoit,0
16/03/2019,"Paris - Nice, Stage 7 : Nice - Col de Turini",72.,COSNEFROY Benoit,0
15/03/2019,"Paris - Nice, Stage 6 : Peynier - Brignoles",141.,COSNEFROY Benoit,0
14/03/2019,"Paris - Nice, Stage 5 : Barbentane - Barbentane I.T.T.",111.,COSNEFROY Benoit,0
13/03/2019,"Paris - Nice, Stage 4 : Vichy - Pélussin",79.,COSNEFROY Benoit,0
12/03/2019,"Paris - Nice, Stage 3 : Cepoy - Moulins-Yzeure",146.,COSNEFROY Benoit,0
11/03/2019,"Paris - Nice, Stage 2 : Les Bréviaires - Bellegarde",98.,COSNEFROY Benoit,0
10/03/2019,"Paris - Nice, Stage 1 : Saint-Germain-en-Laye - Saint-Germain-en-Laye",105.,COSNEFROY Benoit,0
2/03/2019,UAE Tour,65.,COSNEFROY Benoit,5
2/03/2019,"UAE Tour, Stage 7 : Dubai - Dubai",122.,COSNEFROY Benoit,0
1/03/2019,"UAE Tour, Stage 6 : Ajman - Jabel Jais",130.,COSNEFROY Benoit,0
28/02/2019,"UAE Tour, Stage 5 : Sharjah - Khor Fakkan",87.,COSNEFROY Benoit,0
27/02/2019,"UAE Tour, Stage 4 : Dubai - Hatta Dam",26.,COSNEFROY Benoit,0
26/02/2019,"UAE Tour, Stage 3 : Al Ain - Jebel Hafeet",42.,COSNEFROY Benoit,0
25/02/2019,"UAE Tour, Stage 2 : Abu Dhabi - Abu Dhabi",26.,COSNEFROY Benoit,0
24/02/2019,"UAE Tour, Stage 1 : Al Hudayriat T.T.T.",-,COSNEFROY Benoit,0
17/02/2019,Trofeo Laigueglia,61.,COSNEFROY Benoit,0
27/01/2019,Cadel Evans Great Ocean Road Race,11.,COSNEFROY Benoit,30
20/01/2019,Tour Down Under,124.,COSNEFROY Benoit,5
20/01/2019,"Tour Down Under, Stage 6 : McLaren Vale - Willunga Hill",127.,COSNEFROY Benoit,0
19/01/2019,"Tour Down Under, Stage 5 : Glenelg - Strathalbyn",131.,COSNEFROY Benoit,0
18/01/2019,"Tour Down Under, Stage 4 : Unley - Campbelltown",118.,COSNEFROY Benoit,0
17/01/2019,"Tour Down Under, Stage 3 : Lobethal - Uraidla",90.,COSNEFROY Benoit,0
