Date,Race,Rank,Rider,CQ
2/06/2018,"Boucles de la Mayenne, Stage 2 : Saint-Aignan-de-Couptrain - Pré-en-Pail-Saint-Samson",13.,BAGDONAS Gediminas,0
1/06/2018,"Boucles de la Mayenne, Stage 1 : Saint-Berthevin - Gorron",10.,BAGDONAS Gediminas,0
31/05/2018,"Boucles de la Mayenne, Prologue : Laval I.T.T.",8.,BAGDONAS Gediminas,0
26/05/2018,GP de Plumelec-Morbihan,96.,BAGDONAS Gediminas,0
13/05/2018,4 Jours de Dunkerque,39.,BAGDONAS Gediminas,5
1/05/2018,Rund um den Finanzplatz Eschborn - Frankfurt,DNF,BAGDONAS Gediminas,0
15/04/2018,Tro-Bro Léon,28.,BAGDONAS Gediminas,0
8/04/2018,Paris - Roubaix,DNF,BAGDONAS Gediminas,0
1/04/2018,Ronde van Vlaanderen,DNF,BAGDONAS Gediminas,0
28/03/2018,Dwars door Vlaanderen,106.,BAGDONAS Gediminas,5
25/03/2018,Gent - Wevelgem,116.,BAGDONAS Gediminas,5
23/03/2018,E3 Harelbeke,DNF,BAGDONAS Gediminas,0
18/03/2018,GP de Denain - Porte du Hainaut,14.,BAGDONAS Gediminas,12
27/02/2018,Le Samyn,5.,BAGDONAS Gediminas,32
25/02/2018,Kuurne - Brussel - Kuurne,26.,BAGDONAS Gediminas,5
24/02/2018,Omloop Het Nieuwsblad,62.,BAGDONAS Gediminas,5
18/02/2018,Vuelta a Andalucia / Ruta Del Sol,87.,BAGDONAS Gediminas,0
18/02/2018,"Vuelta a Andalucia / Ruta Del Sol, Stage 5 : Barbate I.T.T.",15.,BAGDONAS Gediminas,0
2/10/2018,Binche - Chimay - Binche / Mémorial Frank Vandenbroucke,18.,BAKELANTS Jan,5
12/09/2018,GP de Wallonie,16.,BAKELANTS Jan,5
9/09/2018,GP de Montréal,25.,BAKELANTS Jan,11
7/09/2018,GP de Québec,17.,BAKELANTS Jan,19
26/08/2018,Deutschland Tour,12.,BAKELANTS Jan,18
26/08/2018,"Deutschland Tour, Stage 4 : Lorsch - Stuttgart",11.,BAKELANTS Jan,0
24/08/2018,"Deutschland Tour, Stage 2 : Bonn - Trier",11.,BAKELANTS Jan,0
19/08/2018,EuroEyes Cyclassics Hamburg,37.,BAKELANTS Jan,5
10/08/2018,Tour de Pologne,22.,BAKELANTS Jan,14
10/08/2018,"Tour de Pologne, Stage 7 : Bukowina Tatrzanska - Bukowina Tatrzanska",32.,BAKELANTS Jan,0
9/08/2018,"Tour de Pologne, Stage 6 : Zakopane - Bukowina Tatrzanska",20.,BAKELANTS Jan,0
8/08/2018,"Tour de Pologne, Stage 5 : Kopalina Soli - Bielsko-Biala",10.,BAKELANTS Jan,0
7/08/2018,"Tour de Pologne, Stage 4 : Jaworzno - Szczyrk",25.,BAKELANTS Jan,0
6/08/2018,"Tour de Pologne, Stage 3 : Chorzow - Zabrze",93.,BAKELANTS Jan,0
5/08/2018,"Tour de Pologne, Stage 2 : Tarnowskie Gory - Katowice",72.,BAKELANTS Jan,0
4/08/2018,"Tour de Pologne, Stage 1 : Krakow - Krakow",36.,BAKELANTS Jan,0
29/07/2018,Ride London - Surrey Classic,28.,BAKELANTS Jan,5
26/07/2018,GP Pino Cerami,6.,BAKELANTS Jan,28
24/06/2018,National Championships Belgium (Binche) R.R.,35.,BAKELANTS Jan,0
21/06/2018,National Championships Belgium (Anzegem) I.T.T.,21.,BAKELANTS Jan,0
16/06/2018,"Route d'Occitanie, Stage 3 : Prat-Bonrepaux - Les Monts d'Olmes",DNF,BAKELANTS Jan,0
18/04/2018,Flèche Wallonne,DNF,BAKELANTS Jan,0
15/04/2018,Amstel Gold Race,66.,BAKELANTS Jan,5
7/04/2018,Itzulia Basque Country,43.,BAKELANTS Jan,5
7/04/2018,"Itzulia Basque Country, Stage 6 : Eibar - Arrate",73.,BAKELANTS Jan,0
6/04/2018,"Itzulia Basque Country, Stage 5 : Vitoria - Gasteiz",58.,BAKELANTS Jan,0
5/04/2018,"Itzulia Basque Country, Stage 4 : Lodosa - Lodosa I.T.T.",56.,BAKELANTS Jan,0
4/04/2018,"Itzulia Basque Country, Stage 3 : Bermeo - Valdegovia",18.,BAKELANTS Jan,0
3/04/2018,"Itzulia Basque Country, Stage 2 : Zarautz - Bermeo",59.,BAKELANTS Jan,0
2/04/2018,"Itzulia Basque Country, Stage 1 : Zarautz - Zarautz",75.,BAKELANTS Jan,0
24/03/2018,Classic Loire Atlantique,57.,BAKELANTS Jan,0
4/10/2018,Paris - Bourges,60.,BARBIER Rudy,0
2/09/2018,GP de Fourmies,29.,BARBIER Rudy,5
24/08/2018,Tour du Poitou Charentes,55.,BARBIER Rudy,0
24/08/2018,"Tour du Poitou Charentes, Stage 5 : Brioux-sur-Boutonne - Poitiers",4.,BARBIER Rudy,3
23/08/2018,"Tour du Poitou Charentes, Stage 3 : Gençay - Couhé",12.,BARBIER Rudy,0
21/08/2018,"Tour du Poitou Charentes, Stage 1 : Jonzac - Cognac",8.,BARBIER Rudy,0
18/08/2018,"BinckBank Tour, Stage 6 : Riemst (BEL) - Sittard",DNS,BARBIER Rudy,0
17/08/2018,"BinckBank Tour, Stage 5 : Sint-Pieters-Leeuw - Lanaken",18.,BARBIER Rudy,0
16/08/2018,"BinckBank Tour, Stage 4 : Blankenberge - Ardooie",15.,BARBIER Rudy,0
15/08/2018,"BinckBank Tour, Stage 3 : Aalter - Antwerpen",21.,BARBIER Rudy,0
14/08/2018,"BinckBank Tour, Stage 2 : Venray - Venray I.T.T.",147.,BARBIER Rudy,0
13/08/2018,"BinckBank Tour, Stage 1 : Heerenveen - Bolsward",42.,BARBIER Rudy,0
29/07/2018,Ride London - Surrey Classic,10.,BARBIER Rudy,36
26/07/2018,GP Pino Cerami,107.,BARBIER Rudy,0
24/06/2018,Paris - Chauny,23.,BARBIER Rudy,0
3/06/2018,Boucles de la Mayenne,19.,BARBIER Rudy,6
3/06/2018,"Boucles de la Mayenne, Stage 3 : Congrier - Laval",3.,BARBIER Rudy,5
2/06/2018,"Boucles de la Mayenne, Stage 2 : Saint-Aignan-de-Couptrain - Pré-en-Pail-Saint-Samson",7.,BARBIER Rudy,0
13/05/2018,4 Jours de Dunkerque,37.,BARBIER Rudy,5
11/05/2018,"4 Jours de Dunkerque, Stage 4 : Dainville - Mont Saint-Eloi",15.,BARBIER Rudy,0
10/05/2018,"4 Jours de Dunkerque, Stage 3 : Fort Mahon Plage - Ecques",8.,BARBIER Rudy,0
9/05/2018,"4 Jours de Dunkerque, Stage 2 : Le Quesnoy - Soissons",7.,BARBIER Rudy,0
8/05/2018,"4 Jours de Dunkerque, Stage 1 : Dunkerque - La Bassée",3.,BARBIER Rudy,10
1/05/2018,Rund um den Finanzplatz Eschborn - Frankfurt,DNF,BARBIER Rudy,0
15/04/2018,Tro-Bro Léon,30.,BARBIER Rudy,0
1/04/2018,Ronde van Vlaanderen,DNF,BARBIER Rudy,0
28/03/2018,Dwars door Vlaanderen,DNF,BARBIER Rudy,0
25/03/2018,Gent - Wevelgem,52.,BARBIER Rudy,5
23/03/2018,E3 Harelbeke,DNF,BARBIER Rudy,0
18/03/2018,GP de Denain - Porte du Hainaut,43.,BARBIER Rudy,0
25/02/2018,Abu Dhabi Tour,110.,BARBIER Rudy,5
25/02/2018,"Abu Dhabi Tour, Stage 5 : Al Ain - Jebel Hafeet",108.,BARBIER Rudy,0
24/02/2018,"Abu Dhabi Tour, Stage 4 : Abu Dhabi I.T.T.",134.,BARBIER Rudy,0
23/02/2018,"Abu Dhabi Tour, Stage 3 : Abu Dhabi - Abu Dhabi",7.,BARBIER Rudy,1
22/02/2018,"Abu Dhabi Tour, Stage 2 : Abu Dhabi - Abu Dhabi",9.,BARBIER Rudy,0
21/02/2018,"Abu Dhabi Tour, Stage 1 : Madinat Zayed - Madinat Zayed",9.,BARBIER Rudy,0
11/02/2018,Tour La Provence,91.,BARBIER Rudy,0
9/02/2018,"Tour La Provence, Stage 1 : Aubagne - Istres",4.,BARBIER Rudy,3
4/02/2018,Etoile de Bessèges,95.,BARBIER Rudy,0
3/02/2018,"Etoile de Bessèges, Stage 4 : Chusclan - Laudun L'Ardoise",3.,BARBIER Rudy,5
1/02/2018,"Etoile de Bessèges, Stage 2 : Nimes - Generac",11.,BARBIER Rudy,0
13/10/2018,Il Lombardia,DNF,BARDET Romain,0
9/10/2018,Tre Valli Varesine,23.,BARDET Romain,5
6/10/2018,Giro dell'Emilia,6.,BARDET Romain,48
30/09/2018,World Championships (Innsbruck) R.R.,2.,BARDET Romain,240
20/09/2018,GP Citta di Peccioli - Coppa Sabatini,49.,BARDET Romain,0
19/09/2018,Giro della Toscana - Memorial Alfredo Martini,2.,BARDET Romain,48
16/09/2018,Coppa Bernocchi,103.,BARDET Romain,0
15/09/2018,Coppa Agostoni - Giro delle Brianze,12.,BARDET Romain,9
9/09/2018,Tour du Doubs,26.,BARDET Romain,0
26/08/2018,Deutschland Tour,8.,BARDET Romain,35
26/08/2018,"Deutschland Tour, Stage 4 : Lorsch - Stuttgart",6.,BARDET Romain,0
24/08/2018,"Deutschland Tour, Stage 2 : Bonn - Trier",16.,BARDET Romain,0
29/07/2018,Tour de France,6.,BARDET Romain,260
29/07/2018,"Tour de France, Stage 21 : Houilles - Paris/Champs-Élysées",54.,BARDET Romain,0
28/07/2018,"Tour de France, Stage 20 : Saint-Pée-sur-Nivelle - Espelette I.T.T.",22.,BARDET Romain,0
27/07/2018,"Tour de France, Stage 19 : Lourdes - Laruns",3.,BARDET Romain,35
26/07/2018,"Tour de France, Stage 18 : Trie-sur-Baïse - Pau",38.,BARDET Romain,0
25/07/2018,"Tour de France, Stage 17 : Bagnères-de-Luchon - Saint-Lary-Soulan/Col du Portet",13.,BARDET Romain,0
24/07/2018,"Tour de France, Stage 16 : Carcassonne - Bagnères-de-Luchon",27.,BARDET Romain,0
22/07/2018,"Tour de France, Stage 15 : Millau - Carcassonne",43.,BARDET Romain,0
21/07/2018,"Tour de France, Stage 14 : Saint-Paul-Trois-Châteaux - Mende (Croix Neuve)",36.,BARDET Romain,0
20/07/2018,"Tour de France, Stage 13 : Bourg d'Oisans - Valence",22.,BARDET Romain,0
19/07/2018,"Tour de France, Stage 12 : Bourg-Saint-Maurice - Alpe d'Huez",3.,BARDET Romain,35
18/07/2018,"Tour de France, Stage 11 : Albertville - La Rosière",8.,BARDET Romain,3
17/07/2018,"Tour de France, Stage 10 : Annecy - Le Grand-Bornand",11.,BARDET Romain,0
15/07/2018,"Tour de France, Stage 9 : Arras - Roubaix",36.,BARDET Romain,0
14/07/2018,"Tour de France, Stage 8 : Dreux - Amiens",54.,BARDET Romain,0
13/07/2018,"Tour de France, Stage 7 : Fougères - Chartres",49.,BARDET Romain,0
12/07/2018,"Tour de France, Stage 6 : Brest - Guerlédan/Mûr-de-Bretagne",33.,BARDET Romain,0
11/07/2018,"Tour de France, Stage 5 : Lorient - Quimper",22.,BARDET Romain,0
10/07/2018,"Tour de France, Stage 4 : La Baule - Sarzeau",58.,BARDET Romain,0
9/07/2018,"Tour de France, Stage 3 : Cholet - Cholet T.T.T.",12.,BARDET Romain,0
8/07/2018,"Tour de France, Stage 2 : Mouilleron-Saint-Germain - La Roche-sur-Yon",26.,BARDET Romain,0
7/07/2018,"Tour de France, Stage 1 : Noirmoutier-en-l'Ile - Fontenay-le-Comte",34.,BARDET Romain,0
10/06/2018,Critérium du Dauphiné,3.,BARDET Romain,162
10/06/2018,"Critérium du Dauphiné, Stage 7 : Moûtiers - Saint-Gervais-Mont-Blanc",3.,BARDET Romain,18
9/06/2018,"Critérium du Dauphiné, Stage 6 : Frontenex - La Rosière",4.,BARDET Romain,10
8/06/2018,"Critérium du Dauphiné, Stage 5 : Grenoble - Valmorel",6.,BARDET Romain,3
7/06/2018,"Critérium du Dauphiné, Stage 4 : Chazey-sur-Ain - Lans-en-Vercors",4.,BARDET Romain,10
6/06/2018,"Critérium du Dauphiné, Stage 3 : Pont-de-Vaux - Louhans-Châteaurenaud T.T.T.",7.,BARDET Romain,0
5/06/2018,"Critérium du Dauphiné, Stage 2 : Montbrison - Belleville en Beaujolais",30.,BARDET Romain,0
4/06/2018,"Critérium du Dauphiné, Stage 1 : Valence - Saint-Just-Saint-Rambert",19.,BARDET Romain,0
3/06/2018,"Critérium du Dauphiné, Prologue : Valence I.T.T.",48.,BARDET Romain,0
22/04/2018,Liège - Bastogne - Liège,3.,BARDET Romain,145
18/04/2018,Flèche Wallonne,9.,BARDET Romain,52
14/04/2018,Tour du Finistère,2.,BARDET Romain,48
7/04/2018,Itzulia Basque Country,13.,BARDET Romain,40
7/04/2018,"Itzulia Basque Country, Stage 6 : Eibar - Arrate",18.,BARDET Romain,0
6/04/2018,"Itzulia Basque Country, Stage 5 : Vitoria - Gasteiz",39.,BARDET Romain,0
5/04/2018,"Itzulia Basque Country, Stage 4 : Lodosa - Lodosa I.T.T.",54.,BARDET Romain,0
4/04/2018,"Itzulia Basque Country, Stage 3 : Bermeo - Valdegovia",28.,BARDET Romain,0
3/04/2018,"Itzulia Basque Country, Stage 2 : Zarautz - Bermeo",12.,BARDET Romain,0
2/04/2018,"Itzulia Basque Country, Stage 1 : Zarautz - Zarautz",9.,BARDET Romain,0
28/03/2018,Dwars door Vlaanderen,73.,BARDET Romain,5
13/03/2018,Tirreno - Adriatico,13.,BARDET Romain,48
13/03/2018,"Tirreno - Adriatico, Stage 7 : San Benedetto del Tronto I.T.T.",82.,BARDET Romain,0
12/03/2018,"Tirreno - Adriatico, Stage 6 : Numana - Fano",74.,BARDET Romain,0
11/03/2018,"Tirreno - Adriatico, Stage 5 : Castelraimondo - Filottrano",9.,BARDET Romain,0
10/03/2018,"Tirreno - Adriatico, Stage 4 : Foligno - Sarnano/Sassotetto",7.,BARDET Romain,2
9/03/2018,"Tirreno - Adriatico, Stage 3 : Follonica - Trevi",8.,BARDET Romain,1
8/03/2018,"Tirreno - Adriatico, Stage 2 : Camaiore - Follonica",48.,BARDET Romain,0
7/03/2018,"Tirreno - Adriatico, Stage 1 : Lido di Camaiore T.T.T.",17.,BARDET Romain,0
3/03/2018,Strade Bianche,2.,BARDET Romain,108
25/02/2018,Drôme Classic,8.,BARDET Romain,20
24/02/2018,Classic d'Ardèche,1.,BARDET Romain,80
28/01/2018,GP La Marseillaise,8.,BARDET Romain,20
14/10/2018,Chrono des Nations,21.,BIDARD François,0
13/10/2018,Il Lombardia,DNF,BIDARD François,0
6/10/2018,Tour de Vendée,44.,BIDARD François,0
4/10/2018,Paris - Bourges,49.,BIDARD François,0
23/09/2018,World Championships (Innsbruck) T.T.T.,15.,BIDARD François,7
9/09/2018,GP de Montréal,72.,BIDARD François,5
7/09/2018,GP de Québec,29.,BIDARD François,7
26/08/2018,Deutschland Tour,43.,BIDARD François,0
18/08/2018,Tour du Limousin,45.,BIDARD François,0
17/08/2018,"Tour du Limousin, Stage 3 : Egletons - Uzerche",16.,BIDARD François,0
4/08/2018,Clasica San Sebastian,DNF,BIDARD François,0
1/07/2018,National Championships France (Mantes-la-Jolie) R.R.,45.,BIDARD François,0
17/06/2018,Tour de Suisse,19.,BIDARD François,23
17/06/2018,"Tour de Suisse, Stage 9 : Bellinzona - Bellinzona I.T.T.",46.,BIDARD François,0
16/06/2018,"Tour de Suisse, Stage 8 : Bellinzona - Bellinzona",51.,BIDARD François,0
15/06/2018,"Tour de Suisse, Stage 7 : Eschenbach - Arosa",12.,BIDARD François,0
14/06/2018,"Tour de Suisse, Stage 6 : Fiesch - Gommiswald",23.,BIDARD François,0
13/06/2018,"Tour de Suisse, Stage 5 : Gstaad - Leukerbad",23.,BIDARD François,0
12/06/2018,"Tour de Suisse, Stage 4 : Gansingen - Gstaad",43.,BIDARD François,0
11/06/2018,"Tour de Suisse, Stage 3 : Oberstammheim - Gansingen",53.,BIDARD François,0
10/06/2018,"Tour de Suisse, Stage 2 : Frauenfeld - Frauenfeld",28.,BIDARD François,0
9/06/2018,"Tour de Suisse, Stage 1 : Frauenfeld T.T.T.",16.,BIDARD François,0
27/05/2018,Giro d'Italia,37.,BIDARD François,30
27/05/2018,"Giro d'Italia, Stage 21 : Roma - Roma",127.,BIDARD François,0
26/05/2018,"Giro d'Italia, Stage 20 : Susa - Cervinia",34.,BIDARD François,0
25/05/2018,"Giro d'Italia, Stage 19 : Venaria Reale - Bardonecchia/Jafferau",28.,BIDARD François,0
24/05/2018,"Giro d'Italia, Stage 18 : Abbiategrasso - Prato Nevoso",84.,BIDARD François,0
23/05/2018,"Giro d'Italia, Stage 17 : Riva del Garda - Iseo",61.,BIDARD François,0
22/05/2018,"Giro d'Italia, Stage 16 : Trento - Rovereto I.T.T.",130.,BIDARD François,0
20/05/2018,"Giro d'Italia, Stage 15 : Tolmezzo - Sappada",83.,BIDARD François,0
19/05/2018,"Giro d'Italia, Stage 14 : San Vito al Tagliamento - Monte Zoncolan",35.,BIDARD François,0
18/05/2018,"Giro d'Italia, Stage 13 : Ferrara - Nervesa della Battaglia",73.,BIDARD François,0
17/05/2018,"Giro d'Italia, Stage 12 : Osimo - Imola",81.,BIDARD François,0
16/05/2018,"Giro d'Italia, Stage 11 : Assisi - Osimo",41.,BIDARD François,0
15/05/2018,"Giro d'Italia, Stage 10 : Penne - Gualdo Tadino",48.,BIDARD François,0
13/05/2018,"Giro d'Italia, Stage 9 : Pesco Sannita - Gran Sasso d'Italia",40.,BIDARD François,0
12/05/2018,"Giro d'Italia, Stage 8 : Praia a Mare - Montevergine di Mercogliano",62.,BIDARD François,0
11/05/2018,"Giro d'Italia, Stage 7 : Pizzo - Praia a Mare",93.,BIDARD François,0
10/05/2018,"Giro d'Italia, Stage 6 : Caltanissetta - Etna",152.,BIDARD François,0
9/05/2018,"Giro d'Italia, Stage 5 : Agrigento - Santa Ninfa (Valle del Belice)",148.,BIDARD François,0
8/05/2018,"Giro d'Italia, Stage 4 : Catania - Caltagirone",50.,BIDARD François,0
6/05/2018,"Giro d'Italia, Stage 3 : Be'er Sheva (ISR) - Eilat (ISR)",88.,BIDARD François,0
5/05/2018,"Giro d'Italia, Stage 2 : Tel Aviv (ISR) - Haifa (ISR)",81.,BIDARD François,0
4/05/2018,"Giro d'Italia, Stage 1 : Jerusalem (ISR) I.T.T.",148.,BIDARD François,0
20/04/2018,Tour of the Alps - Giro del Trentino,57.,BIDARD François,0
6/04/2018,Circuit de la Sarthe - Pays de la Loire,5.,BIDARD François,50
5/04/2018,"Circuit de la Sarthe - Pays de la Loire, Stage 3 : Abbaye Royale de l'Epau - Pré-en-Pail-Saint-Samson",20.,BIDARD François,0
1/04/2018,La Roue Tourangelle,11.,BIDARD François,10
30/03/2018,Route Adélie de Vitré,54.,BIDARD François,0
25/03/2018,Volta a Catalunya,92.,BIDARD François,5
25/03/2018,"Volta a Catalunya, Stage 7 : Barcelona - Barcelona",89.,BIDARD François,0
24/03/2018,"Volta a Catalunya, Stage 6 : Pobla de Segur - Torrefarrera",72.,BIDARD François,0
23/03/2018,"Volta a Catalunya, Stage 5 : Llivia - Vielha",112.,BIDARD François,0
22/03/2018,"Volta a Catalunya, Stage 4 : Llanars - Alp/La Molina",93.,BIDARD François,0
21/03/2018,"Volta a Catalunya, Stage 3 : Sant Cugat - Camprodon",115.,BIDARD François,0
20/03/2018,"Volta a Catalunya, Stage 2 : Mataro - Valls",127.,BIDARD François,0
19/03/2018,"Volta a Catalunya, Stage 1 : Calella - Calella",135.,BIDARD François,0
3/02/2018,"Volta a la Comunitat Valenciana, Stage 4 : Orihuela - Canteras de Cocentaina",DNF,BIDARD François,0
1/02/2018,"Volta a la Comunitat Valenciana, Stage 2 : Betera - Albuixech",13.,BIDARD François,0
23/09/2018,Tour du Gévaudan Occitanie,3.,BOUCHARD Geoffrey,8
24/08/2018,Tour du Poitou Charentes,43.,BOUCHARD Geoffrey,0
5/08/2018,Tour Alsace,1.,BOUCHARD Geoffrey,25
4/08/2018,"Tour Alsace, Stage 4 : Ribeauvillé - Lac Blanc",leader,BOUCHARD Geoffrey,2
4/08/2018,"Tour Alsace, Stage 4 : Ribeauvillé - Lac Blanc",2.,BOUCHARD Geoffrey,2
3/08/2018,"Tour Alsace, Stage 3 : Vesoul - La Planche des Belles Filles",1.,BOUCHARD Geoffrey,4
6/05/2018,Rhône-Alpes Isère Tour,14.,BOUCHARD Geoffrey,1
3/05/2018,"Rhône-Alpes Isère Tour, Stage 1 : Charvieu-Chavagneux - Chateauvilain",7.,BOUCHARD Geoffrey,0
7/10/2018,Piccolo Giro di Lombardia,3.0,CHAMPOUSSIN Clément,8
28/09/2018,World Championships U23 (Innsbruck) R.R.,12.0,CHAMPOUSSIN Clément,4
25/09/2018,Ruota d'Oro,2.0,CHAMPOUSSIN Clément,10
16/09/2018,Coppa Bernocchi,64.0,CHAMPOUSSIN Clément,0
26/08/2018,Tour de l'Avenir,5.0,CHAMPOUSSIN Clément,18
26/08/2018,"Tour de l'Avenir, Stage 10 : Val d'Isère - Saint-Colomban-des-Villards (Col du Glandon)",3.0,CHAMPOUSSIN Clément,2
25/08/2018,"Tour de l'Avenir, Stage 9 : Séez - Val d'Isère",8.0,CHAMPOUSSIN Clément,0
24/08/2018,"Tour de l'Avenir, Stage 8 : La Bathie - Crest-Voland",6.0,CHAMPOUSSIN Clément,0
23/08/2018,"Tour de l'Avenir, Stage 7 : Moutiers - Méribel",7.0,CHAMPOUSSIN Clément,0
30/07/2018,Kreiz Breizh Elites,7.0,CHAMPOUSSIN Clément,6
30/07/2018,"Kreiz Breizh Elites, Stage 4 : Guingamp - Rostrenen",2.0,CHAMPOUSSIN Clément,2
22/06/2018,"Tour de Savoie Mont Blanc, Stage 3 : Orelle - Orelle I.T.T.",8.0,CHAMPOUSSIN Clément,0
20/05/2018,Ronde de l'Isard,9.0,CHAMPOUSSIN Clément,4
20/05/2018,"Ronde de l'Isard, Stage 4 : Salies-du-Salat - Saint-Girons",5.0,CHAMPOUSSIN Clément,0
19/05/2018,"Ronde de l'Isard, Stage 3 : Lévignac - Boulogne-sur-Gesse",3.0,CHAMPOUSSIN Clément,1
18/05/2018,"Ronde de l'Isard, Stage 2 : Fonsorbes - Goulier-Niege",10.0,CHAMPOUSSIN Clément,0
7/04/2018,Trofeo Edil C,19.0,CHAMPOUSSIN Clément,0
13/10/2018,Il Lombardia,76.,CHEREL Mikael,5
9/10/2018,Tre Valli Varesine,51.,CHEREL Mikael,0
7/10/2018,GP Bruno Beghelli,27.,CHEREL Mikael,5
6/10/2018,Giro dell'Emilia,40.,CHEREL Mikael,0
16/09/2018,Vuelta a España,97.,CHEREL Mikael,15
16/09/2018,"Vuelta a España, Stage 21 : Alcoron - Madrid",103.,CHEREL Mikael,0
15/09/2018,"Vuelta a España, Stage 20 : Escaldes-Engordany (AND) - Collada de La Gallina (AND)",50.,CHEREL Mikael,0
14/09/2018,"Vuelta a España, Stage 19 : Lleida - Coll de la Rabassa (AND)",46.,CHEREL Mikael,0
13/09/2018,"Vuelta a España, Stage 18 : Ejea de los Caballeros - Lleida",50.,CHEREL Mikael,0
12/09/2018,"Vuelta a España, Stage 17 : Getxo - Balcon de Bizkaia",53.,CHEREL Mikael,0
11/09/2018,"Vuelta a España, Stage 16 : Santillana del Mar - Torrelavega I.T.T.",129.,CHEREL Mikael,0
9/09/2018,"Vuelta a España, Stage 15 : Ribera de Arriba - Lagos de Covadonga",108.,CHEREL Mikael,0
8/09/2018,"Vuelta a España, Stage 14 : Cistierna - Nava/Alto Les Praeres",69.,CHEREL Mikael,0
7/09/2018,"Vuelta a España, Stage 13 : Candas Carreño - Alto de La Camperona",123.,CHEREL Mikael,0
6/09/2018,"Vuelta a España, Stage 12 : Mondoñedo - Faro de Estaca de Bares",87.,CHEREL Mikael,0
5/09/2018,"Vuelta a España, Stage 11 : Mombuey - Luinta",98.,CHEREL Mikael,0
4/09/2018,"Vuelta a España, Stage 10 : Salamanca - Bermillo de Sayago",129.,CHEREL Mikael,0
2/09/2018,"Vuelta a España, Stage 9 : Talavera de la Reina - La Covatilla",140.,CHEREL Mikael,0
1/09/2018,"Vuelta a España, Stage 8 : Linares - Almaden",112.,CHEREL Mikael,0
31/08/2018,"Vuelta a España, Stage 7 : Puerto Lumbreras - Pozo Alcon",93.,CHEREL Mikael,0
30/08/2018,"Vuelta a España, Stage 6 : Huercal-Overa - San Javier/Mar Menor",96.,CHEREL Mikael,0
29/08/2018,"Vuelta a España, Stage 5 : Granada - Roquetas de Mar",157.,CHEREL Mikael,0
28/08/2018,"Vuelta a España, Stage 4 : Velez Malaga - Sierra de la Alfaguara",109.,CHEREL Mikael,0
27/08/2018,"Vuelta a España, Stage 3 : Mijas - Alhaurin de la Torre",169.,CHEREL Mikael,0
26/08/2018,"Vuelta a España, Stage 2 : Marbella - Caminito del Rey",89.,CHEREL Mikael,0
25/08/2018,"Vuelta a España, Stage 1 : Malaga I.T.T.",144.,CHEREL Mikael,0
19/08/2018,EuroEyes Cyclassics Hamburg,33.,CHEREL Mikael,5
10/08/2018,Tour de Pologne,15.,CHEREL Mikael,32
10/08/2018,"Tour de Pologne, Stage 7 : Bukowina Tatrzanska - Bukowina Tatrzanska",16.,CHEREL Mikael,0
