Date,Race,Rank,Rider,CQ
22/01/2017,"Tour Down Under, Stage 6 : Adelaide - Adelaide",86.,BAKELANTS Jan,0
21/01/2017,"Tour Down Under, Stage 5 : McLaren-Vale - Willunga Hill",43.,BAKELANTS Jan,0
20/01/2017,"Tour Down Under, Stage 4 : Norwood - Campbelltown",22.,BAKELANTS Jan,0
19/01/2017,"Tour Down Under, Stage 3 : Glenelg - Victor Harbour",131.,BAKELANTS Jan,0
18/01/2017,"Tour Down Under, Stage 2 : Stirling - Paracombe",33.,BAKELANTS Jan,0
17/01/2017,"Tour Down Under, Stage 1 : Unley - Lyndoch",69.,BAKELANTS Jan,0
8/10/2017,Paris - Tours,27.,BARBIER Rudy,5
5/10/2017,Paris - Bourges,1.,BARBIER Rudy,80
1/10/2017,Tour de l'Eurométropole,126.,BARBIER Rudy,0
30/09/2017,Omloop van de Westhoek - Eurometropool,4.,BARBIER Rudy,36
17/09/2017,GP d'Isbergues - Pas de Calais,5.,BARBIER Rudy,32
15/09/2017,Kampioenschap van Vlaanderen,7.,BARBIER Rudy,24
3/09/2017,GP de Fourmies,16.,BARBIER Rudy,10
27/08/2017,Bretagne Classic - Ouest-France,DNF,BARBIER Rudy,0
25/08/2017,Tour du Poitou Charentes,21.,BARBIER Rudy,4
25/08/2017,"Tour du Poitou Charentes, Stage 5 : Roumazières-Loubert - Poitiers",15.,BARBIER Rudy,0
24/08/2017,"Tour du Poitou Charentes, Stage 3 : Vouillé - Neuville-de-Poitou",4.,BARBIER Rudy,3
23/08/2017,"Tour du Poitou Charentes, Stage 2 : Saint-Savinien-sur-Charente - Roumazières-Loubert",20.,BARBIER Rudy,0
22/08/2017,"Tour du Poitou Charentes, Stage 1 : Bressuire - Saintes",6.,BARBIER Rudy,0
20/08/2017,EuroEyes Cyclassics Hamburg,10.,BARBIER Rudy,46
13/08/2017,"BinckBank Tour, Stage 7 : Essen - Geraardsbergen",DNF,BARBIER Rudy,0
12/08/2017,"BinckBank Tour, Stage 6 : Riemst - Houffalize",93.,BARBIER Rudy,0
11/08/2017,"BinckBank Tour, Stage 5 : Sittard - Sittard",126.,BARBIER Rudy,0
10/08/2017,"BinckBank Tour, Stage 4 : Riemst - Lanaken",20.,BARBIER Rudy,0
9/08/2017,"BinckBank Tour, Stage 3 : Blankenberge - Ardooie",3.,BARBIER Rudy,14
8/08/2017,"BinckBank Tour, Stage 2 : Voorburg - Voorburg I.T.T.",135.,BARBIER Rudy,0
7/08/2017,"BinckBank Tour, Stage 1 : Breda - Venray",23.,BARBIER Rudy,0
30/07/2017,Ride London - Surrey Classic,9.,BARBIER Rudy,40
24/07/2017,"Tour de Wallonie, Stage 3 : Arlon - Houffalize",DNF,BARBIER Rudy,0
25/06/2017,National Championships France (Saint-Omer) R.R.,7.,BARBIER Rudy,42
2/06/2017,"Boucles de la Mayenne, Stage 1 : Saint-Berthevin - Ernée",DNF,BARBIER Rudy,0
21/05/2017,GP de la Somme,2.,BARBIER Rudy,48
14/05/2017,"4 Jours de Dunkerque, Stage 6 : Coudekerque - Dunkerque",DNF,BARBIER Rudy,0
11/05/2017,"4 Jours de Dunkerque, Stage 3 : Beauvais - Amiens",6.,BARBIER Rudy,0
10/05/2017,"4 Jours de Dunkerque, Stage 2 : Saint-Quentin - Saint-Quentin",3.,BARBIER Rudy,10
9/05/2017,"4 Jours de Dunkerque, Stage 1 : Dunkerque - Iwuy",10.,BARBIER Rudy,0
1/05/2017,Rund um den Finanzplatz Eschborn - Frankfurt,14.,BARBIER Rudy,22
17/04/2017,Tro-Bro Léon,17.,BARBIER Rudy,5
13/04/2017,GP de Denain - Porte du Hainaut,15.,BARBIER Rudy,11
9/04/2017,Paris - Roubaix,DNF,BARBIER Rudy,0
5/04/2017,Scheldeprijs,6.,BARBIER Rudy,48
2/04/2017,Ronde van Vlaanderen,111.,BARBIER Rudy,5
26/03/2017,Gent - Wevelgem,DNF,BARBIER Rudy,0
22/03/2017,Dwars door Vlaanderen,41.,BARBIER Rudy,5
18/03/2017,Classic Loire Atlantique,55.,BARBIER Rudy,0
26/02/2017,Kuurne - Brussel - Kuurne,20.,BARBIER Rudy,6
23/02/2017,Tour La Provence,80.,BARBIER Rudy,0
22/02/2017,"Tour La Provence, Stage 2 : Miramat - La Ciotat",12.,BARBIER Rudy,0
21/02/2017,"Tour La Provence, Stage 1 : Aubagne - Istres",6.,BARBIER Rudy,0
5/02/2017,Etoile de Bessèges,31.,BARBIER Rudy,0
2/02/2017,"Etoile de Bessèges, Stage 2 : Nimes - Rodilhan",2.,BARBIER Rudy,10
1/02/2017,"Etoile de Bessèges, Stage 1 : Bellegarde - Beaucaire",5.,BARBIER Rudy,0
10/09/2017,Vuelta a España,17.,BARDET Romain,78
10/09/2017,"Vuelta a España, Stage 21 : Arroyomolinos - Madrid",77.,BARDET Romain,0
9/09/2017,"Vuelta a España, Stage 20 : Corvera de Asturias - Alto de l'Angliru",9.,BARDET Romain,2
8/09/2017,"Vuelta a España, Stage 19 : Caso - Gijon",7.,BARDET Romain,5
7/09/2017,"Vuelta a España, Stage 18 : Suances - Santo Toribio de Liebana",50.,BARDET Romain,0
6/09/2017,"Vuelta a España, Stage 17 : Villadiego - Alto de los Machucos",20.,BARDET Romain,0
5/09/2017,"Vuelta a España, Stage 16 : Los Arcos - Logroño I.T.T.",159.,BARDET Romain,0
3/09/2017,"Vuelta a España, Stage 15 : Alcala la Real - Sierra Nevada/Alto Hoya de la Mora",12.,BARDET Romain,0
2/09/2017,"Vuelta a España, Stage 14 : Ecija - Sierra de la Pandera",13.,BARDET Romain,0
1/09/2017,"Vuelta a España, Stage 13 : Coin - Tomares",75.,BARDET Romain,0
31/08/2017,"Vuelta a España, Stage 12 : Motril - Antequera",60.,BARDET Romain,0
30/08/2017,"Vuelta a España, Stage 11 : Lorca - Calar Alto",5.,BARDET Romain,10
29/08/2017,"Vuelta a España, Stage 10 : Caravaca de la Cruz - Alhama de Murcia",123.,BARDET Romain,0
27/08/2017,"Vuelta a España, Stage 9 : Orihuela-Costa - Cumbre del Sol",24.,BARDET Romain,0
26/08/2017,"Vuelta a España, Stage 8 : Hellin - Xorret de Cati",41.,BARDET Romain,0
25/08/2017,"Vuelta a España, Stage 7 : Lliria - Cuenca",48.,BARDET Romain,0
24/08/2017,"Vuelta a España, Stage 6 : Vilarreal - Port de Sagunt",59.,BARDET Romain,0
23/08/2017,"Vuelta a España, Stage 5 : Benicassim - Alcossebremat",39.,BARDET Romain,0
22/08/2017,"Vuelta a España, Stage 4 : Escaldes-Engordany (AND) - Tarragona",25.,BARDET Romain,0
21/08/2017,"Vuelta a España, Stage 3 : Prades - Andorra la Vella (AND)",4.,BARDET Romain,15
20/08/2017,"Vuelta a España, Stage 2 : Nîmes (FRA) - Gruissan (FRA)",48.,BARDET Romain,0
19/08/2017,"Vuelta a España, Stage 1 : Nîmes (FRA) T.T.T.",18.,BARDET Romain,0
23/07/2017,Tour de France,3.,BARDET Romain,380
23/07/2017,"Tour de France, Stage 21 : Montgeron - Paris",30.,BARDET Romain,0
22/07/2017,"Tour de France, Stage 20 : Marseille - Marseille I.T.T.",52.,BARDET Romain,0
21/07/2017,"Tour de France, Stage 19 : Embrun - Salon-de-Provence",31.,BARDET Romain,0
20/07/2017,"Tour de France, Stage 18 : Briançon - Col d'Izoard",3.,BARDET Romain,35
19/07/2017,"Tour de France, Stage 17 : La Mure - Serre-Chevalier",4.,BARDET Romain,25
18/07/2017,"Tour de France, Stage 16 : Le Puy-en-Velay - Romans-sur-Eglise",16.,BARDET Romain,0
16/07/2017,"Tour de France, Stage 15 : Laissac - Le Puy-en-Velay",33.,BARDET Romain,0
15/07/2017,"Tour de France, Stage 14 : Blagnac - Rodez",11.,BARDET Romain,0
14/07/2017,"Tour de France, Stage 13 : Saint-Girons - Foix",11.,BARDET Romain,0
13/07/2017,"Tour de France, Stage 12 : Pau - Peyragudes",1.,BARDET Romain,80
12/07/2017,"Tour de France, Stage 11 : Eymet - Pau",47.,BARDET Romain,0
11/07/2017,"Tour de France, Stage 10 : Périgueux - Bergerac",32.,BARDET Romain,0
9/07/2017,"Tour de France, Stage 9 : Nantua - Chambéry",4.,BARDET Romain,25
8/07/2017,"Tour de France, Stage 8 : Dole - Station des Rousses",27.,BARDET Romain,0
7/07/2017,"Tour de France, Stage 7 : Troyes - Nuits-Saint-Georges",54.,BARDET Romain,0
6/07/2017,"Tour de France, Stage 6 : Vesoul - Troyes",32.,BARDET Romain,0
5/07/2017,"Tour de France, Stage 5 : Vittel - La Planche des Belles Filles",5.,BARDET Romain,15
4/07/2017,"Tour de France, Stage 4 : Mondorf-les-Bains (LUX) - Vittel",31.,BARDET Romain,0
3/07/2017,"Tour de France, Stage 3 : Verviers (BEL) - Longwy",12.,BARDET Romain,0
2/07/2017,"Tour de France, Stage 2 : Düsseldorf (GER) - Liège (BEL)",88.,BARDET Romain,0
1/07/2017,"Tour de France, Stage 1 : Düsseldorf (GER) I.T.T.",63.,BARDET Romain,0
11/06/2017,Critérium du Dauphiné,6.,BARDET Romain,110
11/06/2017,"Critérium du Dauphiné, Stage 8 : Albertville - Plateau de Solaison",6.,BARDET Romain,3
10/06/2017,"Critérium du Dauphiné, Stage 7 : Aoste - Alpe d'Huez",5.,BARDET Romain,5
9/06/2017,"Critérium du Dauphiné, Stage 6 : Villars-les-Dombes - La Motte-Servolex",7.,BARDET Romain,2
8/06/2017,"Critérium du Dauphiné, Stage 5 : La Tour-de-Salvagny - Mâcon",33.,BARDET Romain,0
7/06/2017,"Critérium du Dauphiné, Stage 4 : La Tour-du-Pin - Bourgion-Jalieu I.T.T.",46.,BARDET Romain,0
6/06/2017,"Critérium du Dauphiné, Stage 3 : Le Chambon-sur-Lignon - Tullins",65.,BARDET Romain,0
5/06/2017,"Critérium du Dauphiné, Stage 2 : Saint-Champond - Arlanc",73.,BARDET Romain,0
4/06/2017,"Critérium du Dauphiné, Stage 1 : Saint-Etienne - Saint-Etienne",29.,BARDET Romain,0
23/04/2017,Liège - Bastogne - Liège,6.,BARDET Romain,100
19/04/2017,Flèche Wallonne,13.,BARDET Romain,30
8/04/2017,Vuelta al Pais Vasco,15.,BARDET Romain,32
8/04/2017,"Vuelta al Pais Vasco, Stage 6 : Eibar - Eibar I.T.T.",50.,BARDET Romain,0
7/04/2017,"Vuelta al Pais Vasco, Stage 5 : Bilbao - Eibar (Arrate)",2.,BARDET Romain,22
6/04/2017,"Vuelta al Pais Vasco, Stage 4 : Donostia - Bilbao",33.,BARDET Romain,0
5/04/2017,"Vuelta al Pais Vasco, Stage 3 : Gasteiz - Donostia",11.,BARDET Romain,0
4/04/2017,"Vuelta al Pais Vasco, Stage 2 : Iruñea - Eltziego",36.,BARDET Romain,0
3/04/2017,"Vuelta al Pais Vasco, Stage 1 : Iruñea - Eguesibar-Sarriguren",24.,BARDET Romain,0
26/03/2017,Volta a Catalunya,10.,BARDET Romain,59
26/03/2017,"Volta a Catalunya, Stage 7 : Barcelona - Barcelona",7.,BARDET Romain,2
25/03/2017,"Volta a Catalunya, Stage 6 : Tortosa - Reus",13.,BARDET Romain,0
24/03/2017,"Volta a Catalunya, Stage 5 : Valls - Tortosa/Lo Tosa",11.,BARDET Romain,0
23/03/2017,"Volta a Catalunya, Stage 4 : La Seu d'Urgell - Igualada",14.,BARDET Romain,0
22/03/2017,"Volta a Catalunya, Stage 3 : Mataro - La Molina",4.,BARDET Romain,8
21/03/2017,"Volta a Catalunya, Stage 2 : Banyoles - Banyoles T.T.T.",11.,BARDET Romain,0
20/03/2017,"Volta a Catalunya, Stage 1 : Calella - Calella",45.,BARDET Romain,0
5/03/2017,"Paris - Nice, Stage 1 : Bois-d’Arcy - Bois-d’Arcy",DQ,BARDET Romain,0
26/02/2017,Abu Dhabi Tour,12.,BARDET Romain,40
26/02/2017,"Abu Dhabi Tour, Stage 4 : Yas Marina, circuit race",25.,BARDET Romain,0
25/02/2017,"Abu Dhabi Tour, Stage 3 : Al Ain - Jebel Hafeet",12.,BARDET Romain,0
24/02/2017,"Abu Dhabi Tour, Stage 2 : Abu Dhabi - Abu Dhabi",25.,BARDET Romain,0
23/02/2017,"Abu Dhabi Tour, Stage 1 : Madinat Zayed - Madinat Zayed",38.,BARDET Romain,0
19/02/2017,Tour of Oman,6.,BARDET Romain,68
18/02/2017,"Tour of Oman, Stage 5 : Samail - Jabal Al Akhdhar (Green Mountain)",10.,BARDET Romain,0
17/02/2017,"Tour of Oman, Stage 4 : Yita - Muscat",14.,BARDET Romain,0
16/02/2017,"Tour of Oman, Stage 3 : Al Seeb - Quriyat",7.,BARDET Romain,0
15/02/2017,"Tour of Oman, Stage 2 : Nakhal - Al Bustan",10.,BARDET Romain,0
17/09/2017,GP d'Isbergues - Pas de Calais,78.,BERARD Julien,0
15/09/2017,Kampioenschap van Vlaanderen,61.,BERARD Julien,0
13/09/2017,GP de Wallonie,89.,BERARD Julien,0
10/09/2017,Tour du Doubs,69.,BERARD Julien,0
20/08/2017,EuroEyes Cyclassics Hamburg,144.,BERARD Julien,5
18/08/2017,"Tour du Limousin, Stage 4 : Saint-Junien - Limoges",DNF,BERARD Julien,0
12/08/2017,Tour de l'Ain,60.,BERARD Julien,0
30/07/2017,Ride London - Surrey Classic,77.,BERARD Julien,5
25/06/2017,National Championships France (Saint-Omer) R.R.,91.,BERARD Julien,0
18/06/2017,Route du Sud,48.,BERARD Julien,0
8/06/2017,GP Kanton Aargau - Gippingen,23.,BERARD Julien,5
28/05/2017,Giro d'Italia,131.,BERARD Julien,15
28/05/2017,"Giro d'Italia, Stage 21 : Monza - Milano I.T.T.",125.,BERARD Julien,0
27/05/2017,"Giro d'Italia, Stage 20 : Pordenone - Asiago",97.,BERARD Julien,0
26/05/2017,"Giro d'Italia, Stage 19 : San Candido - Piancavallo",118.,BERARD Julien,0
25/05/2017,"Giro d'Italia, Stage 18 : Moena - Ortisei",120.,BERARD Julien,0
24/05/2017,"Giro d'Italia, Stage 17 : Tirano - Canazei",115.,BERARD Julien,0
23/05/2017,"Giro d'Italia, Stage 16 : Rovetta - Bormio",130.,BERARD Julien,0
21/05/2017,"Giro d'Italia, Stage 15 : Valdengo - Bergamo",131.,BERARD Julien,0
20/05/2017,"Giro d'Italia, Stage 14 : Castellania - Oropa",107.,BERARD Julien,0
19/05/2017,"Giro d'Italia, Stage 13 : Reggio Emilia - Tortona",113.,BERARD Julien,0
18/05/2017,"Giro d'Italia, Stage 12 : Forli - Reggio Emilia",131.,BERARD Julien,0
17/05/2017,"Giro d'Italia, Stage 11 : Firenze - Bagno di Romagna",181.,BERARD Julien,0
16/05/2017,"Giro d'Italia, Stage 10 : Foligno - Montefalco I.T.T.",166.,BERARD Julien,0
14/05/2017,"Giro d'Italia, Stage 9 : Montenero di Bisaccia - Blockhaus",94.,BERARD Julien,0
13/05/2017,"Giro d'Italia, Stage 8 : Molfetta - Peschici",104.,BERARD Julien,0
12/05/2017,"Giro d'Italia, Stage 7 : Castrovillari - Alberobello",124.,BERARD Julien,0
11/05/2017,"Giro d'Italia, Stage 6 : Reggio Calabria - Terme Luigiane",138.,BERARD Julien,0
10/05/2017,"Giro d'Italia, Stage 5 : Pedara - Messina",117.,BERARD Julien,0
9/05/2017,"Giro d'Italia, Stage 4 : Cefalu - Etna",96.,BERARD Julien,0
7/05/2017,"Giro d'Italia, Stage 3 : Tortoli - Cagliari",115.,BERARD Julien,0
6/05/2017,"Giro d'Italia, Stage 2 : Olbia - Tortoli",74.,BERARD Julien,0
