Rider,rank_start,point_start,win,podium,top_ten,points,race_days,win_dauphine,podium_dauphine,top_ten_dauphine,points_dauphine
HOWES Alex,496.0,138.0,0,1,1,83,31,0.0,0.0,0.0,5.0
KOREN Kristjan,731.0,78.0,0,0,1,40,30,0.0,0.0,1.0,15.0
ROLLAND Pierre,95.0,510.0,0,0,3,161,35,0.0,0.0,2.0,72.0
SLAGTER Tom-Jelte,107.0,480.0,1,1,4,139,39,0.0,0.0,0.0,5.0
VAN BAARLE Dylan,190.0,337.0,0,0,2,226,29,0.0,0.0,0.0,5.0
ALAPHILIPPE Julian,44.0,826.0,2,4,16,697,35,0.0,1.0,7.0,156.0
KEISSE Iljo,328.0,212.0,0,0,0,20,24,0.0,0.0,0.0,5.0
MARTIN Daniel,90.0,526.0,2,7,11,571,30,0.0,3.0,5.0,228.0
RICHEZE ARAQUISTAIN Maximiliano Ariel,674.0,89.0,2,6,12,245,27,1.0,3.0,4.0,116.0
VAKOC Petr,199.0,330.0,3,6,13,577,42,0.0,0.0,0.0,5.0
VERMOTE Julien,409.0,175.0,0,0,3,85,37,0.0,0.0,0.0,5.0
BONNET William,1423.0,20.0,0,0,0,20,33,0.0,0.0,0.0,5.0
MORABITO Steve,363.0,195.0,0,1,4,128,40,0.0,0.0,0.0,5.0
REICHENBACH Sébastien,292.0,235.0,0,1,4,319,40,0.0,0.0,0.0,5.0
ROUX Anthony,284.0,242.0,0,1,5,124,49,0.0,0.0,0.0,5.0
ROY Jérémy,744.0,75.0,0,0,2,43,31,0.0,0.0,0.0,5.0
VICHOT Arthur,332.0,211.0,3,8,13,594,38,0.0,0.0,1.0,5.0
CLEMENT Stef,593.0,109.0,0,0,1,44,29,0.0,0.0,0.0,38.0
COPPEL Jérôme,273.0,254.0,2,6,10,307,35,0.0,0.0,0.0,5.0
ELMIGER Martin,192.0,334.0,0,0,2,32,31,0.0,0.0,1.0,22.0
ENGER Sondre Holst,695.0,86.0,1,10,14,324,33,0.0,0.0,1.0,6.0
HOLLENSTEIN Reto,464.0,148.0,0,3,11,218,47,0.0,0.0,0.0,5.0
NAESEN Oliver,99.0,506.0,0,0,1,101,32,0.0,0.0,0.0,5.0
PANTANO GOMEZ Jarlinson,227.0,300.0,1,2,11,360,50,1.0,1.0,4.0,193.0
ARASHIRO Yukiya,308.0,225.0,1,2,3,64,16,0.0,0.0,0.0,5.0
BONO Matteo,746.0,75.0,0,0,0,35,38,0.0,0.0,0.0,5.0
CIMOLAI Davide,146.0,410.0,2,2,8,78,41,0.0,0.0,0.0,5.0
COSTA Rui Alberto Faria,23.0,1108.0,0,3,22,755,43,0.0,0.0,5.0,107.0
DURASEK Kristijan,210.0,319.0,0,0,0,15,21,0.0,0.0,0.0,5.0
GRMAY Tsgabu Gebremaryam,352.0,201.0,0,1,4,43,44,0.0,0.0,0.0,5.0
MEINTJES Louis,70.0,617.0,0,0,6,170,40,0.0,0.0,4.0,86.0
PIBERNIK Luka,427.0,166.0,0,0,2,59,35,0.0,0.0,1.0,5.0
POLANC Jan,234.0,296.0,0,0,1,114,40,0.0,0.0,0.0,38.0
DE GENDT Thomas,460.0,150.0,1,1,2,95,44,0.0,0.0,0.0,5.0
GALLOPIN Tony,29.0,1063.0,0,6,16,517,39,0.0,1.0,1.0,33.0
ROELANDTS Jürgen,56.0,703.0,0,2,8,381,44,0.0,1.0,4.0,49.0
ANACONA GOMEZ Winner Andrew,368.0,194.0,0,0,4,108,39,0.0,0.0,0.0,5.0
IZAGIRRE INSAUSTI Ion,51.0,739.0,4,10,23,940,47,1.0,3.0,6.0,265.0
MORENO FERNANDEZ Daniel,24.0,1097.0,1,3,9,206,37,0.0,0.0,1.0,11.0
