Rider,tdf_top10
FROOME Chris,1
KNEES Christian,0
KWIATKOWSKI Michal,0
NIEVE ITURRALDE Mikel,0
ROWE Luke,0
ARNDT Nikias,0
BARGUIL Warren,1
CURVERS Roy,0
MATTHEWS Michael,0
SINKELDAM Ramon,0
TEUNISSEN Mike,0
TIMMER Albert,0
CONTADOR VELASCO Alberto,1
DE KORT Koen,0
DEGENKOLB John,0
GOGL Michael,0
IRIZAR ARANBURU Markel,0
PANTANO GOMEZ Jarlinson,0
ZUBELDIA AGIRRE Haimar,0
ATAPUMA HURTADO Jhon Darwin,0
BONO Matteo,0
DURASEK Kristijan,0
LAENGEN Vegard Stake,0
MEINTJES Louis,1
SWIFT Ben,0
ULISSI Diego,0
BARDET Romain,1
DILLIER Silvan,0
FRANK Mathias,0
LATOUR Pierre,0
NAESEN Oliver,0
CORT NIELSEN Magnus,0
FRAILE MATARRANZ Omar,0
FUGLSANG Jakob,0
HANSEN Jesper,0
KANGERT Tanel,0
VALGREN ANDERSEN Michael,0
COLBRELLI Sonny,0
HAUSSLER Heinrich,0
IZAGIRRE INSAUSTI Gorka,0
IZAGIRRE INSAUSTI Ion,0
KOREN Kristjan,0
PELLIZOTTI Franco,0
CARUSO Damiano,0
GERRANS Simon,0
KÜNG Stefan,0
SCHÄR Michael,0
VAN AVERMAET Greg,0
VAN GARDEREN Tejay,0
BODNAR Maciej,0
BURGHARDT Marcus,0
MÜHLBERGER Gregor,0
OSS Daniel,0
PÖSTLBERGER Lukas,0
SAGAN Peter,0
DEMARE Arnaud,0
GAUDU David,0
GUARNIERI Jacopo,0
LE GAC Olivier,0
LUDVIGSSON Tobias,0
MOLARD Rudy,0
SINKELDAM Ramon,0
VICHOT Arthur,0
DE BUYST Jasper,0
DE GENDT Thomas,0
MARCZYNSKI Tomasz,0
HEPBURN Michael,0
IMPEY Daryl,0
YATES Adam,0
AMADOR BIKKAZAKOVA Andrey,0
BENNATI Daniele,0
ERVITI OLLO Imanol,0
LANDA MEANA Mikel,1
QUINTANA ROJAS Nairo Alexander,1
SOLER GIMENEZ Marc,0
ALAPHILIPPE Julian,0
JUNGELS Bob,0
LAMPAERT Yves,0
RICHEZE ARAQUISTAIN Maximiliano Ariel,0
TERPSTRA Niki,0
BOASSON HAGEN Edvald,0
JANSE VAN RENSBURG Reinardt,0
SLAGTER Tom-Jelte,0
THOMSON Jay Robert,0
VERMOTE Julien,0
CLARKE Simon,0
CRADDOCK Lawson,0
PHINNEY Taylor,0
ROLLAND Pierre,0
VANMARCKE Sep,0
BOSWELL Ian,0
KOCHETKOV Pavel,0
ZAKARIN Ilnur,1
KRUIJSWIJK Steven,1
TOLHOEK Antwan,0
CASTROVIEJO NICOLAS Jonathan,0
KWIATKOWSKI Michal,0
ROWE Luke,0
THOMAS Geraint,1
ANDERSEN Søren Kragh,0
ARNDT Nikias,0
GESCHKE Simon,0
TEN DAM Laurens,0
THEUNS Edward,0
BERNARD Julien,0
DE KORT Koen,0
DEGENKOLB John,0
GOGL Michael,0
MOLLEMA Bauke,0
SKUJINS Toms,0
STUYVEN Jasper,0
FERRARI Roberto,0
KRISTOFF Alexander,0
MARTIN Daniel,1
SUTHERLAND Rory,0
TROIA Oliviero,0
